snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
no_noise,2025.06.18_0.3_3,index=1.0,38,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10808922222.118296,5393084215.841681,11968065736.261372,5913587247.002068,65068.73828125,65068.73828267,4233940701.698604,0,0,150239.625,150239.62500142,22571944920.567307,0,0,88987.171875,88987.17187642,7918716758.563516,0,0,127287.10240082645,127287.10240224646,16202006437.959976,0,0,101431.84505208333,101431.84505350333,10288419190.957909,0,0
no_noise,2025.06.18_0.3_3,index=1.0,39,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6209357188.07564,4017269623.984583,7050299617.595903,2573428525.883705,56358.9140625,56358.91406392,3176327194.464319,0,0,112498.5859375,112498.58593892,12655931838.256569,0,0,93590.1796875,93590.17968892,8759121734.204334,0,0,101126.7858273614,101126.7858287814,10226626812.060223,0,0,87482.55989583333,87482.55989725333,7653198286.1765175,0,0
no_noise,2025.06.18_0.3_3,index=1.0,40,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3611041690.4518776,2323376865.069996,3291962200.815093,1367668724.039256,65218.5,65218.50000142,4253452742.4352202,0,0,86109.8671875,86109.86718892,7414909227.293442,0,0,51404.828125,51404.82812642,2642456354.7067804,0,0,77035.17738866506,77035.17739008507,5934418555.521873,0,0,67577.73177083333,67577.73177225333,4566749831.482617,0,0
no_noise,2025.06.18_0.3_3,index=1.0,41,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,15644133714.205093,6057981621.122044,18460704811.898705,9895992111.56001,56933.38671875,56933.38672017,3241410523.4284296,0,0,181800.859375,181800.85937642,33051552470.00484,0,0,87233.7109375,87233.71093892,7609720324.175052,0,0,147316.37836611635,147316.37836753635,21702115335.327133,0,0,108655.98567708333,108655.98567850333,11806123223.767122,0,0
no_noise,2025.06.18_0.3_3,index=1.0,42,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,16167030505.641754,6294980896.061453,19238301611.51192,10218858321.130749,56777.72265625,56777.72265767,3223709790.1912932,0,0,184774.515625,184774.51562642,34141621624.97813,0,0,90394.109375,90394.10937642,8171095009.956183,0,0,149873.31784302893,149873.31784444893,22462011401.703213,0,0,110648.78255208333,110648.78255350333,12243153080.572464,0,0
no_noise,2025.06.18_0.3_3,index=1.0,43,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,9917277259.410543,5303224829.789711,10659039387.990316,5114188726.0761795,67538.6015625,67538.60156392,4561462701.209938,0,0,143594.453125,143594.45312642,20619366968.675632,0,0,90457.4296875,90457.42968892,8182546585.925906,0,0,123371.39899040571,123371.39899182571,15220502089.200254,0,0,100530.16145833333,100530.16145975333,10106313363.124075,0,0
no_noise,2025.06.18_0.3_3,index=1.0,44,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,16647102468.767843,5795449849.757359,19131483141.662323,10880835968.823101,57541.890625,57541.89062642,3311069176.8628817,0,0,187932.828125,187932.82812642,35318747887.59452,0,0,77101.546875,77101.54687642,5944648530.736792,0,0,149808.38533973906,149808.38534115907,22442552318.525204,0,0,107525.421875,107525.42187642,11561716349.702103,0,0
no_noise,2025.06.18_0.3_3,index=1.0,45,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,17315689070.639767,8453859095.759006,21588335023.890285,9791494984.840912,64662.30078125,64662.30078267,4181213142.508485,0,0,189969.265625,189969.26562642,36088321882.64132,0,0,124581.40625,124581.40625142,15520526783.581352,0,0,160528.96363567188,160528.9636370919,25769548166.39877,0,0,126404.32421875,126404.32422017,15978053181.557858,0,0
no_noise,2025.06.18_0.3_3,index=1.0,46,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,14295454841.629185,5149169657.613228,15323772917.60283,9116241257.089039,66554.4296875,66554.42968892,4429492111.217397,0,0,174137.671875,174137.67187642,30323928766.53972,0,0,64193.859375,64193.85937642,4120851581.6395855,0,0,139443.983372702,139443.983374122,19444624499.242416,0,0,101628.65364583333,101628.65364725333,10328383242.153378,0,0
no_noise,2025.06.18_0.3_3,index=1.0,47,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,12395890246.01363,4925228544.3829155,13648341679.943659,7676852521.668465,60603.44140625,60603.44140767,3672777110.4528904,0,0,161845.953125,161845.95312642,26194112543.39934,0,0,72166.28125,72166.28125142,5207972149.659055,0,0,131609.72148752073,131609.72148894073,17321118790.39655,0,0,98205.22526041667,98205.22526183668,9644266268.728085,0,0
no_noise,2025.06.18_0.3_3,index=1.0,48,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,15600818469.534996,7921180386.715803,20188250039.196194,8623924228.076021,57738.625,57738.62500142,3333748817.0546026,0,0,179906.046875,179906.04687642,32366185702.700634,0,0,128528.3359375,128528.33593892,16519533139.227877,0,0,153368.8327392995,153368.83274071952,23521998856.250797,0,0,122057.66927083333,122057.66927225333,14898074628.174776,0,0
no_noise,2025.06.18_0.3_3,index=1.0,49,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,16970357185.659971,9977002020.793867,22911284905.402916,8207805858.232895,63530.10546875,63530.10547017,4036074301.050924,0,0,186186.515625,186186.51562642,34665418601.10714,0,0,160960.84375,160960.84375142,25908393221.169044,0,0,164156.50826570243,164156.50826712244,26947359206.45384,0,0,136892.48828125,136892.48828267,18739553348.220943,0,0
no_noise,2025.06.18_0.3_3,index=1.0,50,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,10320753595.41133,5749754600.756837,12449027654.874075,5208482398.378145,60178.73828125,60178.73828267,3621480541.2940917,0,0,146021.328125,146021.32812642,21322228267.80362,0,0,106463.0625,106463.06250142,11334383677.181263,0,0,126769.50814690471,126769.50814832472,16070508196.168167,0,0,104221.04296875,104221.04297017,10862025797.790022,0,0
no_noise,2025.06.18_0.3_3,index=1.0,51,-1.42e-06,below_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,22402930697.923435,10995853286.799812,30145675569.404266,12774280576.89957,57036.02734375,57036.02734517,3253108415.3189797,0,0,215543.5,215543.50000142,46459000392.862144,0,0,158257.484375,158257.48437642,25045431361.15282,0,0,182753.3419234905,182753.3419249105,33398783984.723248,0,0,143612.33723958334,143612.33724100335,20624503407.823677,0,0
