before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_before,sse_after,sse_reduction_w_m2_squared
-8,-20,equal_offline,index=10.322114,322114.2428,above_onb,60,3091460058605.1445,2533154210741.162,558305847863.9824
-8,-20,randomforest,index=11.376320,376320.1201,above_onb,60,544277502451.29913,633532655382.8197,-89255152931.52057
-8,-20,conformer,index=11.376320,376320.1201,above_onb,60,862452748724.7799,929966143519.9232,-67513394795.14331
-8,-20,alexnet,index=11.376320,376320.1201,above_onb,60,807552522870.0387,368244258839.66815,439308264030.37054
-8,-20,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,735666388855.3394,579549202792.8877,156117186062.45166
-8,-20,equal_offline,index=11.376320,376320.1201,above_onb,60,691313512062.8889,576708787885.4314,114604724177.45752
-8,-20,randomforest,index=12.434018,434018.0833,above_onb,60,178923185522.32193,181614263035.3748,-2691077513.0528564
-8,-20,conformer,index=12.434018,434018.0833,above_onb,60,92042069915.9314,295303985744.9409,-203261915829.00952
-8,-20,alexnet,index=12.434018,434018.0833,above_onb,60,258167720024.35968,54038281096.92716,204129438927.43253
-8,-20,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,132327101328.44531,140488076262.72888,-8160974934.283569
-8,-20,equal_offline,index=12.434018,434018.0833,above_onb,60,151518158833.44135,141418086484.77194,10100072348.669403
-8,-20,randomforest,index=13.496023,496023.3525,above_onb,60,85615071423.55865,86931577687.85057,-1316506264.291916
-8,-20,conformer,index=13.496023,496023.3525,above_onb,60,61829053979.36111,294923278613.4769,-233094224634.1158
-8,-20,alexnet,index=13.496023,496023.3525,above_onb,60,163966476877.69305,59227686124.408585,104738790753.28447
-8,-20,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,73172095408.40295,123748661437.66222,-50576566029.25926
-8,-20,equal_offline,index=13.496023,496023.3525,above_onb,60,83206539091.88548,117151278005.57063,-33944738913.68515
-8,-20,randomforest,index=14.562158,562158.7854,above_onb,60,117587906645.88533,116864195523.20706,723711122.6782684
-8,-20,conformer,index=14.562158,562158.7854,above_onb,60,74492568440.0485,147742014981.09207,-73249446541.04358
-8,-20,alexnet,index=14.562158,562158.7854,above_onb,60,68426512920.60659,42504690166.996826,25921822753.609764
-8,-20,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,31648639401.302532,83859058549.83566,-52210419148.53313
-8,-20,equal_offline,index=14.562158,562158.7854,above_onb,60,38771292601.26975,85858461159.31587,-47087168558.04612
-8,-20,randomforest,index=15.633482,633482.536,above_onb,60,158785956652.5548,170146953468.73068,-11360996816.175873
-8,-20,conformer,index=15.633482,633482.536,above_onb,60,110045510623.61485,57541248812.4864,52504261811.128456
-8,-20,alexnet,index=15.633482,633482.536,above_onb,60,33282570178.252884,44470823287.57837,-11188253109.325485
