before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-16,equal_offline,index=1.0,below_onb,24912242914.291954,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=10.322114,onb_or_above,443162527350.039368,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=11.376320,onb_or_above,108759099375.765717,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=12.434018,onb_or_above,56586551676.273994,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=13.496023,onb_or_above,5113296947.603833,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=14.562158,onb_or_above,-32842427014.019398,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=15.633482,onb_or_above,-36754293292.744476,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=16.709792,onb_or_above,-65343319101.374352,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=17.789500,onb_or_above,-117308111648.435440,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=18.873637,onb_or_above,-153751192674.913544,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=2.2380,below_onb,-70727756262.685120,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=3.21242,below_onb,-36670481115.621925,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=4.58389,below_onb,20088032740.589504,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=5.113188,below_onb,335694635321.150940,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=6.146381,below_onb,747322159821.624512,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=7.184190,below_onb,757850222504.120972,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=8.225704,below_onb,243741146579.148285,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
-8,-16,equal_offline,index=9.271677,onb_or_above,368778647600.335693,2598610981721.149902,11,7,2022210202502.618896,576400779218.531372
