selection,snr,experiment_name,source_wav_id,chunk_index,y_true_w_m2,region,weight_randomforest,weight_conformer,weight_alexnet,weighted_diagonal_w_m2_squared,weighted_cross_w_m2_squared,ensemble_minus_best_single_sse_w_m2_squared,ensemble_minus_equal_sse_w_m2_squared,prediction_randomforest_w_m2,residual_randomforest_w_m2,sse_randomforest_w_m2_squared,miss_randomforest,false_alarm_randomforest,prediction_conformer_w_m2,residual_conformer_w_m2,sse_conformer_w_m2_squared,miss_conformer,false_alarm_conformer,prediction_alexnet_w_m2,residual_alexnet_w_m2,sse_alexnet_w_m2_squared,miss_alexnet,false_alarm_alexnet,prediction_ensemble__inner_holdout_w_m2,residual_ensemble__inner_holdout_w_m2,sse_ensemble__inner_holdout_w_m2_squared,miss_ensemble__inner_holdout,false_alarm_ensemble__inner_holdout,prediction_equal_offline_w_m2,residual_equal_offline_w_m2,sse_equal_offline_w_m2_squared,miss_equal_offline,false_alarm_equal_offline
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=14.562158,17,562158.7854,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,2491243407.9179597,-183531549.4135685,-2430204928.46783,1894630537.7819147,482127.875,-80030.91040000005,6404946619.452836,0,0,630991.3125,68832.52709999995,4737916786.972227,0,0,634330.375,72171.58959999995,5208738345.3908205,0,0,610197.4350323991,48038.64963239909,2307711858.504397,0,0,582483.1875,20324.40209999995,413081320.7224823,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=14.562158,36,562158.7854,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,8199542743.220194,4329614242.169657,12326083025.378164,4468494231.222117,576409.1875,14250.402099999948,203073960.01168293,0,0,691004.1875,128845.40209999995,16601137642.31067,0,0,688406.5625,126247.77709999995,15938501222.69127,0,0,674092.5023283226,111933.71692832257,12529156985.389847,0,0,651939.9791666666,89781.19376666658,8060662754.167729,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=15.633482,21,633482.536,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,3557628327.7973466,92310680.1906085,-3149016070.229987,2714024858.102173,550701.0625,-82781.47349999996,6852772354.831196,0,0,715938.3125,82455.77650000004,6798955078.217958,0,0,725586.375,92103.83900000004,8483117158.537928,0,0,693897.261092381,60414.725092381006,3649939007.9879713,0,0,664075.25,30592.714000000036,935914149.8857982,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=15.633482,5,633482.536,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6624193485.543121,4144859528.9586334,10671416906.93507,2745468413.6144695,623601.4375,-9881.098499999964,97636107.56670153,0,0,744929.375,111446.83900000004,12420397923.091928,0,0,800640.1875,167157.65150000004,27941680454.995464,0,0,737256.5838853059,103774.04788530595,10769053014.501772,0,0,723057.0,89574.46400000004,8023584600.887302,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=16.709792,53,709792.7143,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,4033502543.5687103,319594319.1462059,-2689652366.5836515,3032248818.4758034,625871.625,-83921.08929999999,7042749229.2985735,0,0,797201.375,87408.66070000001,7640273965.367725,0,0,815335.5625,105542.84820000001,11139292806.168245,0,0,775770.717170009,65978.00287000905,4353096862.714922,0,0,746136.1875,36343.47320000001,1320848044.2391188,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=16.709792,13,709792.7143,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,6607863849.684971,2581368791.1402593,8809851286.472805,4300424161.870346,690315.0,-19477.714299999992,379381354.3524242,0,0,825397.625,115604.91070000001,13364495377.954977,0,0,823425.5625,113632.84820000001,12912424190.044245,0,0,805653.1995941254,95860.48529412539,9189232640.82523,0,0,779712.7291666666,69920.01486666664,4888808478.954884,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=17.789500,37,789500.1968,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,2957837199.6080704,-416438951.1744008,-2752772614.3395467,2163728780.577606,682347.25,-107152.94680000003,11481754007.923637,0,0,862261.25,72761.05319999997,5294170862.773225,0,0,882193.25,92693.05319999997,8592002111.538023,0,0,839912.4795139744,50412.28271397436,2541398248.433678,0,0,808933.9166666666,19433.719866666594,377669467.8560718,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=17.789500,8,789500.1968,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,385202256.8747523,-312326926.70770514,54462032.974290565,-283823329.4979043,676418.6875,-113081.50930000003,12787427745.565994,0,0,785209.125,-4291.071800000034,18413297.192755535,0,0,850213.375,60713.178199999966,3686090007.144951,0,0,780963.4919224114,-8536.704877588665,72875330.1670461,0,0,770613.7291666666,-18886.467633333406,356698659.6649504,0,0
ensemble_best_vs_all_singles,no_noise,2025.06.18_0.3_3,index=18.873637,35,873637.0359,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,1084157889.6629386,-983883656.0859737,-576120940.9587187,-3297167465.013216,695185.1875,-178451.84840000002,31845062197.376587,0,0,903233.75,29596.714099999983,875965485.5171378,0,0,847629.4375,-26007.598400000017,676395174.5356834,0,0,863623.333608791,-10013.702291209018,100274233.57696474,0,0,815349.4583333334,-58287.577566666645,3397441698.590181,0,0
ensemble_worst_vs_best_single,no_noise,2025.06.18_0.3_3,index=18.873637,19,873637.0359,above_onb,0.14361027080015779,0.6813582333783545,0.17503149582148775,986419311.1830497,912757795.2498682,1898847456.3731303,-2801741353.3668118,693516.3125,-180120.72340000002,32443474998.139313,0,0,847493.875,-26143.160900000017,683464861.8432897,0,0,874211.1875,574.1515999999829,329650.0597825403,0,0,830057.486723432,-43579.54917656805,1899177106.4329128,0,0,805073.7916666666,-68563.24423333339,4700918459.799725,0,0
