day,role,feature,heat_flux,q_ratio,threshold_db,median_db,n,kept
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,184190.9699,0.4894528888092794,-65.81047562030906,-79.9257429883038,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,225704.9618,0.5997685208540621,-65.81047562030906,-84.06904037724814,60,0
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,271677.6816,0.7219323843960477,-65.81047562030906,-83.87292325095659,60,2
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,322114.2428,0.8559580676005423,-65.81047562030906,-83.85336109533606,60,4
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,376320.1201,1.0,-65.81047562030906,-69.75847330343304,60,14
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,434018.0833,1.153321494435822,-65.81047562030906,-57.27270058522426,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,496023.3525,1.3180888451252384,-65.81047562030906,-52.4889324984991,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,562158.7854,1.493831329695093,-65.81047562030906,-48.901496409295035,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,633482.536,1.6833607935490238,-65.81047562030906,-46.84751282637923,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,709792.7143,1.8861407519517848,-65.81047562030906,-45.315486191817584,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,789500.1968,2.0979484078348114,-65.81047562030906,-44.670558361560325,60,60
2025.06.18_0.3_3,test_descriptive_only,band_500_1000_db,873637.0359,2.3215262465048303,-65.81047562030906,-44.35740343054358,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,-1.42e-06,-3.773383149491613e-12,-61.52006918910426,-85.54463907885513,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,2380.025286,0.0063244699363072,-61.52006918910426,-84.02249257775848,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,21242.86319,0.0564489169071138,-61.52006918910426,-84.25242333623854,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,58389.85471,0.1551600661013926,-61.52006918910426,-84.19390042299358,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,113188.2901,0.3007766102697946,-61.52006918910426,-78.83578509675053,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,146381.6505,0.3889817277404722,-61.52006918910426,-79.18495422285605,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,184190.9699,0.4894528888092794,-61.52006918910426,-81.03724953635617,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,225704.9618,0.5997685208540621,-61.52006918910426,-84.91357045011948,60,0
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,271677.6816,0.7219323843960477,-61.52006918910426,-84.76514607972136,60,2
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,322114.2428,0.8559580676005423,-61.52006918910426,-84.39147132620809,60,4
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,376320.1201,1.0,-61.52006918910426,-63.00720932348767,60,22
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,434018.0833,1.153321494435822,-61.52006918910426,-51.634776126065105,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,496023.3525,1.3180888451252384,-61.52006918910426,-46.906760782931386,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,562158.7854,1.493831329695093,-61.52006918910426,-43.424570395297195,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,633482.536,1.6833607935490238,-61.52006918910426,-41.374189033335284,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,709792.7143,1.8861407519517848,-61.52006918910426,-40.00510594955064,60,60
2025.06.18_0.3_3,test_descriptive_only,band_1000_2000_db,789500.1968,2.0979484078348114,-61.52006918910426,-39.37926234509244,60,60
