experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.18_0.3_3,index=8.225704,35,35.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0035.npy,376320.1201,0.5997685208540621,1.2679530644127119e-08,-84.23459821733499,-85.13874524253961,-86.80977617998947,-89.98482802050881,-90.69510754891087,-93.16713548635276,-88.71690362178462,-82.11058077255105,-85.1030893997993
2025.06.18_0.3_3,index=8.225704,36,36.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0036.npy,376320.1201,0.5997685208540621,1.2915134704930857e-08,-84.32346556808835,-84.83321556143781,-86.52376777616274,-90.58300760838728,-90.78909182479366,-93.28322962844305,-88.5974899560717,-81.9470559470034,-85.08514939845381
2025.06.18_0.3_3,index=8.225704,37,37.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0037.npy,376320.1201,0.5997685208540621,1.2509182691441394e-08,-84.36168115918834,-84.8553038941497,-86.83049418329985,-90.8595102820322,-90.73973282623298,-93.08146737476058,-88.78352354419896,-82.10099806493778,-85.38333208381916
2025.06.18_0.3_3,index=8.225704,38,38.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0038.npy,376320.1201,0.5997685208540621,1.3463046301116338e-08,-83.66920859768696,-84.78818713339149,-86.66510485659424,-90.20445784471556,-90.74422328359363,-93.14847819681647,-88.72391342593573,-81.9181923808869,-85.07348206866907
2025.06.18_0.3_3,index=8.225704,39,39.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0039.npy,376320.1201,0.5997685208540621,1.2574827010404787e-08,-84.230267320603,-85.14819087598059,-86.8156460367085,-90.07242593603515,-90.92749719718131,-93.23961306826322,-88.70722786381153,-82.1314652645811,-85.13534905956989
2025.06.18_0.3_3,index=8.225704,40,40.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0040.npy,376320.1201,0.5997685208540621,1.2868283687410939e-08,-84.17875748638876,-85.0261861384334,-86.67456544015245,-90.74526665331994,-90.90374415741769,-93.07427045910015,-88.6474665789994,-82.12107547028063,-85.23917585105609
2025.06.18_0.3_3,index=8.225704,41,41.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0041.npy,376320.1201,0.5997685208540621,1.2508928438664721e-08,-84.28093557786296,-85.01159030868374,-86.5483186307115,-90.79188817046038,-90.85374626240369,-93.19747441853255,-88.83661281362878,-82.07529863767857,-85.16088995443404
2025.06.18_0.3_3,index=8.225704,42,42.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0042.npy,376320.1201,0.5997685208540621,1.2636991904723104e-08,-84.15133392191191,-85.12954060095828,-86.8332636062747,-90.28670733334691,-90.92496446584431,-93.21022256570421,-88.71336851816153,-82.16180956070997,-85.21509982188988
2025.06.18_0.3_3,index=8.225704,43,43.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0043.npy,376320.1201,0.5997685208540621,1.2710989545959004e-08,-84.02890790602572,-85.20179265320172,-86.87199031855073,-90.35087198168868,-90.60779952588548,-93.02658228466973,-88.90497687443846,-82.22135460194596,-85.26172321560742
2025.06.18_0.3_3,index=8.225704,44,44.0,1,225704.9618,225704.9618_src-index=8.225704_chunk-0044.npy,376320.1201,0.5997685208540621,1.2717471225172147e-08,-84.21020693702428,-85.06906167305596,-86.73972962062152,-90.3571269926512,-90.64198967287551,-93.28147961810598,-88.64095124634844,-82.10987878870031,-85.17190464587227
