seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
44,clean,ensemble__simple_equal,Equal ensemble,0.922831,75646.027994,61340.595614,0.867088,70181.502722,54609.751312,109474.070281,103260.19015,0.969229,0.980178,0.888889,1.0,0.8,0.888889
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.919283,77365.544619,64253.432655,0.857552,72655.573324,59210.847175,101185.081479,95494.05846,0.968924,0.979793,0.886111,1.0,0.795,0.885794
44,0,randomforest,RandomForest,0.875903,95927.874583,80170.403346,0.695984,106142.461297,85599.719523,152098.398981,145660.416374,0.931521,0.939598,0.905556,0.996016,0.833333,0.907441
44,0,conformer,Conformer,0.736603,139755.826741,106792.653326,0.879095,66936.546603,55948.873831,24885.173446,21318.252997,0.921448,0.952647,0.757407,0.723545,0.911667,0.806785
44,0,alexnet,AlexNet,0.800119,121744.622609,99936.454701,0.81004,83902.008324,75207.070056,43638.573042,40690.312659,0.928941,0.958199,0.884259,1.0,0.791667,0.883721
44,0,ensemble__simple_equal,Equal ensemble,0.865939,99704.561546,75405.664166,0.911905,57136.966184,47822.380653,65369.547233,62211.074424,0.939608,0.964577,0.905556,0.998,0.831667,0.907273
44,0,ensemble__inner_holdout,Inner-holdout ensemble,0.839764,109004.400917,83172.067077,0.899396,61058.951478,52270.30917,51017.097707,48011.992288,0.937625,0.963186,0.903704,0.997992,0.828333,0.905282
44,-4,randomforest,RandomForest,0.87596,95905.846144,80160.662285,0.696189,106106.623992,85582.185614,152249.38463,145848.087468,0.932347,0.940326,0.905556,0.996016,0.833333,0.907441
44,-4,conformer,Conformer,0.637242,164010.892914,128398.018953,0.860113,71999.550527,60571.654128,51469.485853,44356.768528,0.915927,0.950121,0.609259,0.587771,0.993333,0.738538
44,-4,alexnet,AlexNet,0.733283,140633.633164,112593.469936,0.848155,75013.852264,64439.144908,16341.498076,12126.041215,0.919736,0.951437,0.781481,0.747956,0.915,0.823088
44,-4,ensemble__simple_equal,Equal ensemble,0.833458,111128.781057,82143.151456,0.934623,49221.177565,41757.940909,40804.758355,38387.02653,0.93892,0.964518,0.906481,0.996024,0.835,0.908432
44,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.791578,124318.622887,93333.304414,0.921574,53910.124785,45033.000646,24391.472065,20561.762869,0.936385,0.962871,0.89537,0.951763,0.855,0.90079
44,-8,randomforest,RandomForest,0.876224,95803.567844,80055.727924,0.69714,105940.506892,85394.101968,152355.391084,146015.959082,0.932351,0.940329,0.906481,0.996024,0.835,0.908432
44,-8,conformer,Conformer,0.517131,189225.240265,153678.382684,0.809077,84114.387472,74516.071316,85319.227784,81709.797046,0.912257,0.948482,0.556481,0.55607,1.0,0.714711
44,-8,alexnet,AlexNet,0.654001,160177.446041,125012.373142,0.88906,64118.594011,54833.131485,41150.967489,38558.059025,0.893163,0.935843,0.568519,0.56297,0.998333,0.719952
44,-8,ensemble__simple_equal,Equal ensemble,0.793485,123748.539552,90306.705487,0.950567,42800.452584,35797.625773,25978.645246,19825.212351,0.936191,0.963859,0.896296,0.948529,0.86,0.902098
44,-8,ensemble__inner_holdout,Inner-holdout ensemble,0.73325,140642.563015,104503.253922,0.936559,48487.205643,39792.47045,26314.349762,20176.3957,0.933694,0.962187,0.668519,0.631522,0.968333,0.764474
44,-12,randomforest,RandomForest,0.876723,95610.604844,79913.785191,0.699157,105587.020637,85057.305568,151839.721026,144906.814357,0.934722,0.94253,0.908333,0.99604,0.838333,0.910407
44,-12,conformer,Conformer,0.355909,218543.499437,183857.089365,0.727305,100526.257137,94131.150582,122892.375465,121255.562671,0.904986,0.944958,0.555556,0.555556,1.0,0.714286
44,-12,alexnet,AlexNet,0.604391,171276.344413,128723.651879,0.932237,50111.597775,42689.720764,63268.945063,61690.797046,0.88917,0.933435,0.555556,0.555556,1.0,0.714286
44,-12,ensemble__simple_equal,Equal ensemble,0.752905,135361.772156,97659.530521,0.961394,37823.931443,31216.375592,29225.361698,18872.049868,0.932451,0.962395,0.692593,0.65367,0.95,0.774457
44,-12,ensemble__inner_holdout,Inner-holdout ensemble,0.677733,154586.727651,113723.145018,0.948216,43806.583261,35933.144478,45816.809466,41998.254226,0.930017,0.960842,0.557407,0.556586,1.0,0.715137
44,-16,randomforest,RandomForest,0.878768,94814.224019,79467.996714,0.721321,101623.283888,82554.37107,138775.864526,132082.806871,0.926481,0.95623,0.911111,0.996063,0.843333,0.913357
44,-16,conformer,Conformer,0.112564,256526.810246,220157.86203,0.598337,122003.37519,116304.783151,173643.936361,172725.682462,0.895347,0.939353,0.555556,0.555556,1.0,0.714286
44,-16,alexnet,AlexNet,0.500645,192428.261225,139584.287636,0.948211,43808.452367,33460.707419,98477.982277,97463.379858,0.887174,0.932882,0.555556,0.555556,1.0,0.714286
44,-16,ensemble__simple_equal,Equal ensemble,0.668986,156670.606641,113353.322831,0.962611,37223.312106,30888.051039,54047.253409,48966.400258,0.927816,0.959573,0.555556,0.555556,1.0,0.714286
44,-16,ensemble__inner_holdout,Inner-holdout ensemble,0.572027,178144.436792,131903.038992,0.94506,45121.658746,37968.477376,80377.859198,78634.97182,0.92699,0.958987,0.555556,0.555556,1.0,0.714286
44,-20,randomforest,RandomForest,0.763598,132400.449602,104351.631472,0.814005,83021.565557,66376.17554,76047.323112,54426.314209,0.918818,0.952289,0.693519,0.654776,0.948333,0.774677
44,-20,conformer,Conformer,-0.226381,301562.257705,261399.899125,0.383284,151176.149586,141479.118984,234062.124685,233379.688712,0.885281,0.932954,0.555556,0.555556,1.0,0.714286
44,-20,alexnet,AlexNet,0.295173,228615.369195,169485.208092,0.890514,63697.18701,44903.998145,149910.678871,149221.794962,0.855024,0.911476,0.555556,0.555556,1.0,0.714286
44,-20,ensemble__simple_equal,Equal ensemble,0.420553,207286.50395,155876.150242,0.906935,58726.548832,47316.547258,122195.58264,118868.773825,0.906656,0.944561,0.555556,0.555556,1.0,0.714286
44,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.321542,224298.175182,171181.083676,0.875718,67864.712472,54574.341953,144211.724992,142671.036467,0.901868,0.941023,0.555556,0.555556,1.0,0.714286
