snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
-12,randomforest,RandomForest,0.8773436666666666,0.0012957474033673286,0.876475,0.878833,95368.58850966668,504.3901143198905,94788.79885,95706.361835,79755.93324466667,342.9864779744095,79362.441227,79991.573316,150843.916124,3365.136644964461,147093.25729,153598.770056,0.9347013333333334,2.7592269448793426e-05,0.93467,0.934722,0.838333,0.0,0.838333,0.838333,0.9104069999999999,0.0,0.910407,0.910407
-12,conformer,Conformer,0.338265,0.029820340641917513,0.303835,0.355909,221479.55124733332,4959.978143078469,218543.499437,227206.225178,179557.24888199999,6119.271594287972,172551.50598,183857.089365,133870.83985766667,11792.506644247262,122892.375465,146336.331986,0.8893113333333332,0.01707390164354162,0.871118,0.904986,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-12,alexnet,AlexNet,0.6836326666666667,0.06899837456298034,0.604391,0.730419,152586.44270699998,16291.837635490165,141386.861377,171276.344413,117298.574458,14428.8262101052,101084.048781,128723.651879,33828.110541,26013.826266634198,13945.609978,63268.945063,0.8891613333333334,0.031963000881227284,0.857194,0.92112,0.9455556666666666,0.08302172183430878,0.85,1.0,0.7399249999999999,0.03149150096454594,0.714286,0.775076
-12,ensemble__simple_equal,Equal ensemble,0.7691423333333334,0.014417909048587212,0.752905,0.780445,130796.68821666665,4058.7943035593835,127595.55076,135361.772156,93945.89594633334,3771.2363113777706,90119.583292,97659.530521,25279.029733333333,3979.3556296764127,21267.45279,29225.361698,0.9379663333333333,0.0061167162214159415,0.932451,0.944545,0.911111,0.03433231659821395,0.885,0.95,0.846218,0.06225609305923402,0.774457,0.885785
-12,ensemble__inner_holdout,Inner-holdout ensemble,0.6555003333333334,0.029849869352031246,0.621574,0.677733,159732.00360866668,6856.137794781285,154586.727651,167515.325511,115118.26450733333,3627.5187850774223,112395.426067,119236.222437,54000.80230833334,11014.789624435778,45816.809466,66524.422911,0.933354,0.004179600100488142,0.930017,0.938042,1.0,0.0,1.0,1.0,0.7145696666666667,0.0004913250790803982,0.714286,0.715137
-16,randomforest,RandomForest,0.8790933333333334,0.0008208668182680019,0.878485,0.880027,94686.576686,321.7088658134982,94320.633485,94924.872554,79393.21990533333,175.67659220785438,79192.526306,79519.136696,139717.14762933334,1783.7560843701094,138601.196808,141774.381554,0.9266916666666667,0.0011416717274826908,0.92567,0.927924,0.843333,0.0,0.843333,0.843333,0.913357,0.0,0.913357,0.913357
-16,conformer,Conformer,0.07318333333333334,0.043949130598151004,0.025773,0.112564,262107.97672433336,6197.983934994807,256526.810246,268778.371868,218425.57843833332,1648.4437738029735,216876.236786,220157.86203,187665.95892166664,13888.261891937947,173643.936361,201416.47915,0.8787783333333333,0.023485957194317893,0.851901,0.895347,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-16,alexnet,AlexNet,0.5780460000000001,0.07240961062593837,0.500645,0.644132,176457.89010966665,15086.793219459356,162445.950494,192428.261225,136402.92312933333,7987.836902706964,127314.592692,142309.88906,62844.10657133333,39678.71992430215,20085.817683,98477.982277,0.874139,0.03573916072041979,0.833712,0.901531,0.9872223333333334,0.022131567868845903,0.961667,1.0,0.717361,0.005326056233274328,0.714286,0.723511
-16,ensemble__simple_equal,Equal ensemble,0.6873696666666667,0.028211171729180917,0.668986,0.719851,152151.66379666666,6964.262306225218,144131.522609,156670.606641,109909.21132633333,3907.7016838410927,105662.535918,113353.322831,47262.659160999996,11052.64598011373,34508.848066,54047.253409,0.9291506666666667,0.003879202280538294,0.926115,0.933521,0.9972223333333333,0.004811059793157139,0.991667,1.0,0.716449,0.0037464258967715588,0.714286,0.720775
-16,ensemble__inner_holdout,Inner-holdout ensemble,0.5285673333333333,0.03899941379473964,0.49662,0.572027,186862.306858,7805.492300051941,178144.436792,193202.344155,137172.600484,4687.258169567941,131903.038992,140877.04492,92872.03099666668,11136.223432961726,80377.859198,101752.978253,0.9260176666666666,0.004799940034347621,0.920806,0.930257,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-20,randomforest,RandomForest,0.7656306666666666,0.0020553640391262275,0.763598,0.767708,131829.21098633335,578.0723617253839,131244.539027,132400.449602,103945.146543,408.31764791101955,103535.020528,104351.631472,78045.64719066666,2080.64520348185,76047.323112,80199.846078,0.920047,0.0011330326561931224,0.918818,0.92105,0.948333,0.0,0.948333,0.948333,0.774677,0.0,0.774677,0.774677
-20,conformer,Conformer,-0.26647733333333334,0.11683881632545469,-0.398085,-0.174966,306238.96971499996,14002.71583560434,295173.135168,321981.516272,259003.62541200002,8135.233113755579,249939.395368,265671.581743,245701.129964,22849.074368605234,231015.014676,272026.250531,0.8641709999999999,0.03567702123216004,0.822979,0.885281,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-20,alexnet,AlexNet,0.402831,0.1236239302198405,0.295173,0.53784,209645.30307833335,22271.489775547936,185122.926489,228615.369195,166647.36301666664,3077.2423285370387,163376.577405,169485.208092,107808.22536033334,54234.28168040853,46608.588105,149910.678871,0.8536199999999999,0.027920487961351964,0.825024,0.880812,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-20,ensemble__simple_equal,Equal ensemble,0.45654733333333336,0.0764548203603496,0.404733,0.544356,200398.98097200002,14432.151714378515,183813.357989,210097.080977,150198.992838,11114.520801138735,137392.466228,157328.362044,111916.429864,21871.361733272843,86799.097653,126754.609299,0.906575,0.0048440079479703585,0.901691,0.911378,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
-20,ensemble__inner_holdout,Inner-holdout ensemble,0.28171166666666664,0.06762703588309436,0.203628,0.321542,230621.91369566668,10728.192520096381,224298.175182,243008.850061,176045.23184300002,8214.499415089838,171181.083676,185529.47209,152896.86003533335,15003.07657703219,144211.724992,170220.900075,0.8961990000000001,0.009431114833358803,0.885312,0.901868,1.0,0.0,1.0,1.0,0.714286,0.0,0.714286,0.714286
