seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,-20,alexnet,AlexNet,below,480,-7.503577321834342,235970.25465606648,221226.85685349003,221226.85685349003,0,480
42,-20,alexnet,AlexNet,near,60,-6.41167646487006e+29,46608.58810511179,44850.28402500001,44850.28402500001,0,0
42,-20,alexnet,AlexNet,above,540,0.4091424804970263,137129.66826670116,125123.69493685185,-124488.02284907408,0,0
42,-20,alexnet,AlexNet,all,1080,0.5378403658691238,185122.92648927486,163376.5774046993,38570.718511736304,0,480
42,-20,ensemble__simple_equal,Equal ensemble,below,480,-9.999003787648753,268369.46752878855,254436.09411477466,254436.09411477466,0,480
42,-20,ensemble__simple_equal,Equal ensemble,near,60,-2.223668919206337e+30,86799.09765321591,82233.53402499993,82233.53402499993,0,0
42,-20,ensemble__simple_equal,Equal ensemble,above,540,0.9146017253600758,52133.22483412757,39482.45612891208,-25915.96082650471,0,0
42,-20,ensemble__simple_equal,Equal ensemble,all,1080,0.544355917438196,183813.35798868065,137392.46622796703,104693.25775025862,0,480
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-15.432242734635999,328023.4179046706,317294.05876028066,317294.05876028066,0,480
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-6.142133449291134e+30,144257.95503863614,142923.76420016968,142923.76420016968,0,0
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9089704332865378,53824.658088028504,44930.697939795435,24756.321705243005,0,0
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.31996474463092395,224558.71584404344,171425.13976336524,161337.951646089,0,480
43,clean,randomforest,RandomForest,below,480,-0.010245976548346247,81333.59960752999,73330.07326041708,9631.223878229584,0,2
43,clean,randomforest,RandomForest,near,60,-6.765585495679952e+30,151402.4282804835,145810.62919791669,-138519.78446458332,55,0
43,clean,randomforest,RandomForest,above,540,0.6893753033109787,99427.8464495626,78744.92375381944,-77153.20567604167,46,0
43,clean,randomforest,RandomForest,all,1080,0.8765187271405364,95689.60251672278,80064.19605920158,-41991.60247350676,101,2
43,clean,conformer,Conformer,below,480,-1.1957742723995373,119908.58410279459,100644.3516615108,87336.06863734414,0,0
43,clean,conformer,Conformer,near,60,-1.7937658072087544e+30,77958.41810514168,70066.25946458333,-70066.25946458333,60,0
43,clean,conformer,Conformer,above,540,0.8867056520658523,60047.39397942936,49486.594190046286,2591.014737731484,65,0
43,clean,conformer,Conformer,all,1080,0.8849575405083729,92361.98983686088,73366.69002594925,36218.96790409741,125,0
43,clean,alexnet,AlexNet,below,480,-0.4526714535811296,97530.42795126104,84333.82500558633,58653.65783819052,0,0
43,clean,alexnet,AlexNet,near,60,-3.5606978393028356e+30,109836.75860305966,100941.14240729166,-100941.14240729166,60,0
43,clean,alexnet,AlexNet,above,540,0.8020655286501949,79368.97280529128,67875.88083939815,26141.28030486111,62,0
43,clean,alexnet,AlexNet,all,1080,0.8914731848186821,89708.32153546273,77027.48166703143,33531.09128011014,122,0
43,clean,ensemble__simple_equal,Equal ensemble,below,480,-0.3466247290459583,93903.05495571258,79586.23884514366,51873.65011792142,0,0
43,clean,ensemble__simple_equal,Equal ensemble,near,60,-3.5186284738471775e+30,109185.97430981098,103175.72877881948,-103175.72877881948,60,0
43,clean,ensemble__simple_equal,Equal ensemble,above,540,0.8862777016787823,60160.6965619208,46030.11612355709,-16140.303544483106,57,0
43,clean,ensemble__simple_equal,Equal ensemble,all,1080,0.9138135439850881,79943.60217728735,64118.70470288792,9252.818903566884,117,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.5822624499799862,101787.79102164786,86302.05506769115,64762.716583667556,0,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.8706671749532263e+30,98621.49213608172,92403.38825892018,-92403.38825892018,60,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8771736372114053,62522.42836935401,51471.229595571735,2588.348513747731,60,0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9042566531217328,84259.42755116141,69225.60528669972,24944.082279675,120,0
43,0,randomforest,RandomForest,below,480,-0.010330325263341766,81336.9949397457,73341.16183463583,9619.1722831775,0,2
43,0,randomforest,RandomForest,near,60,-6.804098705617524e+30,151832.74719280266,145668.70231125003,-137789.06050624998,54,0
43,0,randomforest,RandomForest,above,540,0.6889934391282315,99488.94312345653,78768.45284814815,-77176.73477037037,46,0
43,0,randomforest,RandomForest,all,1080,0.8763357084225454,95760.48979996933,80073.00403453721,-41968.12750967574,100,2
43,0,conformer,Conformer,below,480,-4.56516358269943,190895.3703849817,169563.2539563546,169563.2539563546,0,183
43,0,conformer,Conformer,near,60,-1.086289986401943e+29,19184.61267531739,15547.448697916667,796.3103270833225,30,0
43,0,conformer,Conformer,above,540,0.8853217810858138,60413.015164665696,51585.57819055555,15001.73768333333,37,0
43,0,conformer,Conformer,all,1080,0.756701068888975,134318.02651634745,102017.9824479863,82906.55450710667,67,183
