created_at,experiment_name,max_freq_hz,noise_dir_name,snr_value,threshold,model_key,model_label,epochs_completed,stopped_by_memory_error,claim_safe,r2_mean,r2_se,rmse_all_mean,rmse_all_se,mae_all_mean,mae_all_se,rmse_onb_mean,rmse_onb_se,mae_onb_mean,mae_onb_se,roc_auc_cont_mean,roc_auc_cont_se,pr_auc_cont_mean,pr_auc_cont_se,accuracy_mean,accuracy_se,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,alexnet,AlexNet,300,0,True,0.588098509,0.07929871565,172586.1183,19766.26855,139845.576,16679.61599,155970.6608,0,135526.1011,0,0.8683796296,0.08754565975,0.9286135217,0.05603575952,0.8111111111,0.08112823259,0.8348737158,0.07951340914,0.8962962963,0.05185185185,0.8634006718,0.06568500273
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.4743999313,0.2339108007,188572.6308,46400.15782,141724.6256,32446.92568,172737.4393,0,144445.5729,0,0.9010493827,0.07111403136,0.9463669752,0.04467861351,0.8133333333,0.09503045321,0.817612209,0.09512093798,0.9518518519,0.02592592593,0.8750950602,0.0657085418
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.5635572288,0.1647693772,173787.8782,36605.10261,130489.6208,26669.20823,143179.8762,0,134715.8289,0,0.901404321,0.08645379483,0.9433469988,0.0523125082,0.8444444444,0.1139904696,0.8555749635,0.1106144533,0.9351851852,0.04607353817,0.8902108834,0.0823871363
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,ensemble__prediction_max,ensemble__prediction_max,,0,True,0.4832139528,0.262109332,185068.2008,51449.48164,141095.0686,34890.57913,175513.3794,0,146954.0953,0,0.9065895062,0.07686326859,0.9470782115,0.04736005417,0.8052777778,0.09270913961,0.7967626233,0.08554115982,0.9685185185,0.02874847166,0.8714521603,0.06471682198
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.5679226173,0.1613588294,172934.5172,36159.85218,130443.7069,26047.12824,141004.6978,0,132066.3578,0,0.9042592593,0.08706778088,0.9444616163,0.0524610745,0.8486111111,0.1161280556,0.8610244036,0.1135524907,0.9351851852,0.04607353817,0.8929258474,0.08377673452
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.5864817541,0.1466888227,169640.7742,33821.77809,128961.2013,25355.37174,138194.6263,0,130340.1206,0,0.9008487654,0.09086548309,0.9419217777,0.05516121179,0.8469444444,0.1135295823,0.8585189397,0.109999998,0.9333333333,0.04789821169,0.8912264434,0.08265960237
2026-09-03T08:10:28,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,275174.6641,rf,RandomForest,,0,True,0.4726967299,0.1889889048,190689.9404,39345.55745,151491.1221,25758.05217,162918.7918,0,153765.3674,0,0.8959104938,0.09510924162,0.9381741981,0.05860609432,0.8188888889,0.09851481997,0.8735518123,0.1150812156,0.8777777778,0.03159022613,0.8697574894,0.07228033658
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,alexnet,AlexNet,300,0,True,0.3119657148,0.1954465073,218502.9797,32545.98142,174932.9275,30321.49563,129374.251,0,114645.7791,0,0.8505092593,0.07028276406,0.9227405771,0.04938995391,0.7138888889,0.06839484585,0.8343731275,0.1075685554,0.7888888889,0.1103212667,0.7860437495,0.05738189636
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.5252386829,0.1324615502,184061.8947,29191.43268,140121.4335,22614.18424,139336.0406,0,123486.9927,0,0.8667901235,0.07258175257,0.9311635702,0.04770693177,0.7927777778,0.08408732968,0.8455180603,0.1031101984,0.8759259259,0.01515806069,0.8545890184,0.06050196772
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.4712182075,0.146203769,193014.6441,31073.3087,150649.8463,22818.6187,134439.8093,0,121416.511,0,0.8882098765,0.08221680575,0.9371264995,0.052131275,0.7952777778,0.08665108478,0.8505427703,0.1096907688,0.8796296296,0.04061428185,0.8559942749,0.061803607
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,ensemble__prediction_max,ensemble__prediction_max,,0,True,0.4846376425,0.2180060695,188054.7886,43673.83017,141617.624,30679.55814,157076.3812,0,134670.8883,0,0.8776080247,0.08783388976,0.9320403954,0.05523929811,0.8186111111,0.1013180879,0.8230884924,0.1044363889,0.9537037037,0.03115297008,0.8786409193,0.07100323123
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.4716763574,0.1478940887,192774.9147,31466.23287,151114.8561,23057.67782,134449.3868,0,121424.3467,0,0.8927932099,0.0839487152,0.9386064424,0.05275645953,0.8036111111,0.09110475926,0.8525957752,0.1103104355,0.8888888889,0.04315251925,0.861946223,0.06495776402
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.5015954484,0.1472594372,187368.3621,31839.80028,145420.8001,22482.61182,134042.5821,0,121046.1871,0,0.8943055556,0.08407543797,0.9392350703,0.05272718705,0.8122222222,0.09638168401,0.8533574225,0.1116719386,0.9,0.0361467061,0.8687589952,0.06850865326
2026-09-03T08:25:31,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,275174.6641,rf,RandomForest,,0,True,0.4462986118,0.1736408243,196935.7805,35499.56167,157152.2192,23250.15096,151677.7454,0,135190.3896,0,0.8872530864,0.09463676155,0.9335349744,0.06003940447,0.8152777778,0.09136102243,0.8643877644,0.1114219748,0.8907407407,0.02727948123,0.8699323118,0.06508192341
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,alexnet,AlexNet,300,0,True,0.4812936407,0.1984212691,184842.8068,39937.20247,144776.3662,35040.40417,144769.4147,0,131765.7708,0,0.8962191358,0.08809003303,0.9428367423,0.05235044824,0.8119444444,0.1042791985,0.8819885776,0.1152138483,0.8518518519,0.06622798053,0.8595015529,0.07835092846
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.5378723698,0.1906174877,177893.6636,40645.95864,135358.8454,30080.11271,144204.243,0,122779.856,0,0.892037037,0.0920674615,0.937771343,0.05699319908,0.8355555556,0.1061383764,0.8587733823,0.1107284225,0.9222222222,0.03093202424,0.8848273594,0.07599565633
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.547665784,0.1663354612,175230.3674,38565.32271,132576.0463,29310.1031,142425.4776,0,134806.0153,0,0.9042901235,0.09418377143,0.9433160848,0.05616585131,0.8488888889,0.1101034166,0.8802697315,0.1141892385,0.9074074074,0.04673862764,0.8899556299,0.08178754153
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,ensemble__prediction_max,ensemble__prediction_max,,0,True,0.5231840365,0.2397766441,177588.2456,49214.94975,135001.0757,34145.00859,160987.2123,0,138028.668,0,0.8968981481,0.09949539396,0.9385173841,0.06025659419,0.8538888889,0.1170433733,0.8570174228,0.1112473151,0.95,0.04456003487,0.897630472,0.08330477985
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.546336416,0.1620562504,175676.8261,37719.59476,133784.7595,28572.19272,139393.446,0,130982.8941,0,0.9051234568,0.09330432219,0.943889634,0.05557731072,0.8455555556,0.1136976715,0.8770434227,0.1174448295,0.9092592593,0.04651798773,0.8885594106,0.08325875945
2026-09-03T07:55:22,2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,275174.6641,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.5800678852,0.155051452,169185.8901,36856.39856,128036.9883,28277.07617,137799.0724,0,129614.1087,0,0.905941358,0.09294877608,0.9445905119,0.0550344588,0.8527777778,0.1182759381,0.8765271765,0.1179608839,0.9185185185,0.04982823721,0.8935040358,0.08680115939
