experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_reference_SNR=0,0,rf,freq_2000_3000Hz,0.3485107909,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_no_noise,no_noise,alexnet,freq_1000_2000Hz,13.92755822,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_2000_3000Hz,1.357251384,3
2025.06.18_0.3_3,maxfreq=3kHz,heatflux_no_noise,no_noise,rf,freq_2000_3000Hz,0.3512608937,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_1000_2000Hz,13.56043708,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_1000_2000Hz,0.8684201222,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_5000Hz,0.3215202558,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_2000_5000Hz,28.82113398,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_2000_5000Hz,2.04827677,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.3118454468,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_2000_5000Hz,12.17637548,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_512_1000Hz,1.223034317,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.3184738869,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_1000_2000Hz,18.23791317,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_512_1000Hz,0.7633411295,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.3497312278,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_1000_2000Hz,13.35245264,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,0.8949892961,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.3456085518,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=0,0,alexnet,freq_1000_2000Hz,12.20141584,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_5000Hz,1.096995997,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.3581210724,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_no_noise,no_noise,alexnet,freq_1000_2000Hz,12.25422384,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_512_1000Hz,1.012893115,3
2025.06.18_0.3_3,maxfreq=5kHz,heatflux_no_noise,no_noise,rf,freq_2000_5000Hz,0.3566381028,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_2000_5000Hz,27.44948355,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_5000_10000Hz,6.423184154,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,rf,freq_2000_5000Hz,0.224448903,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,alexnet,freq_1000_2000Hz,75.31020931,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_5000_10000Hz,4.037751361,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.1764185564,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_1000_2000Hz,182.6255575,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_5000_10000Hz,5.436238931,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.1234819356,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_2000_5000Hz,26.66532561,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_5000_10000Hz,4.761599027,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.3048359437,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_2000_5000Hz,89.7820236,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,5.613739547,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.252361683,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,alexnet,freq_2000_5000Hz,23.66271905,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_5000Hz,6.680909604,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.4083403826,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_no_noise,no_noise,alexnet,freq_2000_5000Hz,22.55413464,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_no_noise,no_noise,cnntf_v2_gap,freq_5000_10000Hz,5.027490499,3
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_no_noise,no_noise,rf,freq_2000_5000Hz,0.4528567427,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,alexnet,freq_2000_3000Hz,54.35886453,3
2025.07.09_0.3_1,maxfreq=3kHz,heatflux_reference_SNR=-12,-12,cnntf_v2_gap,freq_2000_3000Hz,2.323306696,3
