experiment_name,max_freq_hz,snr_value,model_key,model_label,claim_safe,best_single_model_by_r2,best_single_r2,r2_mean,r2_delta_vs_best_single,best_single_recall,recall_mean,recall_delta_vs_best_r2_single,best_single_f1,f1_mean,f1_delta_vs_best_r2_single
2025.07.09_0.3_1,maxfreq=3kHz,0,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.4848900435,0.4698898372,-0.0150002063,0.8555555556,0.9185185185,0.0629629629,0.8458903714,0.8876984628,0.0418080914
2025.07.09_0.3_1,maxfreq=3kHz,0,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.4848900435,0.49387955,0.0089895065,0.8555555556,0.9092592593,0.0537037037,0.8458903714,0.8844167175,0.0385263461
2025.07.09_0.3_1,maxfreq=3kHz,no_noise,ensemble__inner_holdout,ensemble__inner_holdout,True,rf,0.4923671722,0.4586823529,-0.0336848193,0.8944444444,0.8703703704,-0.024074074,0.8818419987,0.8630223286,-0.0188196701
2025.07.09_0.3_1,maxfreq=3kHz,no_noise,ensemble__prediction_max,ensemble__prediction_max,True,rf,0.4923671722,0.478626216,-0.0137409562,0.8944444444,0.9333333333,0.0388888889,0.8818419987,0.8913446976,0.0095026989
2025.07.09_0.3_1,maxfreq=3kHz,no_noise,ensemble__simple_equal,ensemble__simple_equal,True,rf,0.4923671722,0.4738904952,-0.018476677,0.8944444444,0.8777777778,-0.0166666666,0.8818419987,0.8676808493,-0.0141611494
2025.07.09_0.3_1,maxfreq=3kHz,no_noise,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,rf,0.4923671722,0.4927370726,0.0003699004,0.8944444444,0.8888888889,-0.0055555555,0.8818419987,0.8744562359,-0.0073857628
2025.07.09_0.3_1,maxfreq=5kHz,-12,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5686565812,0.4792872516,-0.0893693296,0.8796296296,0.9055555556,0.025925926,0.8173659452,0.8518530649,0.0344871197
2025.07.09_0.3_1,maxfreq=5kHz,-12,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5686565812,0.3974455834,-0.1712109978,0.8796296296,0.9888888889,0.1092592593,0.8173659452,0.8463261963,0.0289602511
2025.07.09_0.3_1,maxfreq=5kHz,-12,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5686565812,0.4722548936,-0.0964016876,0.8796296296,0.9037037037,0.0240740741,0.8173659452,0.8534818321,0.0361158869
2025.07.09_0.3_1,maxfreq=5kHz,-12,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5686565812,0.5202611938,-0.0483953874,0.8796296296,0.9111111111,0.0314814815,0.8173659452,0.8568890348,0.0395230896
