source_wav_id,chunk_index,heat_flux,band_hz,signal_stft_power,noise20_stft_power,realized_band_snr_at_ref_minus20,realized_band_snr_at_ref_zero
index=10.3.15E+05,59,315466.1173,500-3000,6.548356679409328e-07,1.8351549874534266e-06,-4.475404215754131,15.524595784245868
index=10.3.15E+05,59,315466.1173,3000-22050,6.978976790596624e-07,6.540248675378464e-05,-19.71802507487447,0.2819749251255317
index=10.3.15E+05,59,315466.1173,0-22050,1.3541482912154064e-06,6.724528607258909e-05,-16.959956194455753,3.040043805544247
index=11.3.69E+05,0,368978.105,500-1000,2.353567254847169e-06,3.4340345216325014e-06,-1.640780436270501,18.3592195637295
index=11.3.69E+05,0,368978.105,1000-2000,9.462654390731778e-06,4.7051219214316043e-07,13.03442096864654,33.03442096864654
index=11.3.69E+05,0,368978.105,2000-3000,4.332362197422491e-05,4.49573190584588e-07,19.839243526534005,39.839243526534005
index=11.3.69E+05,0,368978.105,3000-5000,6.874172589719562e-07,7.874422966769743e-07,-0.589983070140163,19.410016929859836
index=11.3.69E+05,0,368978.105,5000-10000,1.1583536058596086e-05,1.319820927204971e-05,-0.5667385536679401,19.43326144633206
index=11.3.69E+05,0,368978.105,10000-15000,7.555480415642731e-07,3.0488541387334577e-05,-16.05874563440709,3.9412543655929113
index=11.3.69E+05,0,368978.105,15000-22050,5.486672877797774e-07,2.162941859450793e-05,-15.957357778299507,4.042642221700493
index=11.3.69E+05,0,368978.105,500-3000,5.513984361980386e-05,4.35411990436025e-06,11.025651455523278,31.025651455523278
index=11.3.69E+05,0,368978.105,3000-22050,1.3575168646912092e-05,6.610361155056919e-05,-6.8747995406216,13.1252004593784
index=11.3.69E+05,0,368978.105,0-22050,6.873417287965692e-05,7.047151456644572e-05,-0.10840894504816236,19.89159105495184
index=11.3.69E+05,30,368978.105,500-1000,2.8495656604647942e-06,1.6935737324480336e-06,2.2597455945748726,22.259745594574873
index=11.3.69E+05,30,368978.105,1000-2000,8.712973351585933e-06,2.1421019097518153e-07,16.09326257361193,36.09326257361193
index=11.3.69E+05,30,368978.105,2000-3000,3.4931879717308516e-05,2.2874730006400457e-07,21.838659793301147,41.83865979330115
