seed,arm,model,threshold,region,chunks,wavs,sse_w_m2_squared,rmse_kw_m2,mean_residual_kw_m2
42,on,ensemble__inner_holdout,run_271677,below_onb,480,8,3441557445982.069,84.6753290267949,15.256773540009137
42,on,ensemble__inner_holdout,run_271677,above_onb,540,9,2926735525735.2974,73.61983838078913,3.0429997571594103
42,on,ensemble__inner_holdout,run_271677,near_onb,60,1,1190464395184.7615,140.85834463417265,-130.86678953204952
42,on,ensemble__inner_holdout,source_text_376000,below_onb,600,10,6033384849615.123,100.27782115714923,-14.73523303843642
42,on,ensemble__inner_holdout,source_text_376000,near_onb,60,1,416768757222.87933,83.3435417636823,-73.78602897357013
42,on,ensemble__inner_holdout,source_text_376000,above_onb,420,7,1108603760064.1233,51.37638331040281,34.24467942291329
42,on,equal_offline,run_271677,below_onb,480,8,3318700646332.6743,83.15022357071409,9.094935293160175
42,on,equal_offline,run_271677,above_onb,540,9,2725403907234.5312,71.042552548853,-16.555702678838788
42,on,equal_offline,run_271677,near_onb,60,1,1349363754836.2085,149.96464888078393,-140.92370126145838
42,on,equal_offline,source_text_376000,below_onb,600,10,6276314721103.925,102.27670573093957,-21.591091258423308
42,on,equal_offline,source_text_376000,near_onb,60,1,437493442047.97925,85.39061639001278,-74.92372207482639
42,on,equal_offline,source_text_376000,above_onb,420,7,679660145251.5078,40.227334501244535,10.524155947619029
43,off,randomforest,run_271677,below_onb,480,8,7550559482118.908,125.42062132844978,55.43007348760454
43,off,randomforest,run_271677,above_onb,540,9,4509978089942.064,91.38824474553874,-72.73070900358752
43,off,randomforest,run_271677,near_onb,60,1,630589942811.4901,102.51747353593679,-84.5704421468749
43,off,randomforest,source_text_376000,below_onb,600,10,9172735915509.568,123.64422021475953,25.44912450112493
43,off,randomforest,source_text_376000,near_onb,60,1,444612649909.41235,86.08258146584325,-71.29824536041662
43,off,randomforest,source_text_376000,above_onb,420,7,3073778949453.4907,85.5483565489285,-68.41417641845258
43,off,conformer,run_271677,below_onb,480,8,4140485649696.441,92.8763251329472,59.884012533828084
43,off,conformer,run_271677,above_onb,540,9,1996344795136.4353,60.80242434153603,6.3625972030092965
43,off,conformer,run_271677,near_onb,60,1,273646389830.36725,67.53349660605065,-63.59445217291657
43,off,conformer,source_text_376000,below_onb,600,10,4789711323871.073,89.34680859690395,34.115176883937245
43,off,conformer,source_text_376000,near_onb,60,1,471219855964.29224,88.62090197053705,-83.78621098541662
43,off,conformer,source_text_376000,above_onb,420,7,1149545654827.881,52.31647411548209,30.767923581547475
43,off,alexnet,run_271677,below_onb,480,8,7033115830452.637,121.04678701550209,94.30687854945371
43,off,alexnet,run_271677,above_onb,540,9,3089819335639.039,75.6431600251524,24.756306635879497
43,off,alexnet,run_271677,near_onb,60,1,414425044105.1952,83.10886877114812,-73.3517754802082
43,off,alexnet,source_text_376000,below_onb,600,10,7975914264686.737,115.29609898493774,59.336087261542254
43,off,alexnet,source_text_376000,near_onb,60,1,362640874156.05817,77.74326060352523,-69.81508546458329
43,off,alexnet,source_text_376000,above_onb,420,7,2198805071354.0735,72.35502864273258,54.33774649821413
43,off,ensemble__inner_holdout,run_271677,below_onb,480,8,5101859529207.554,103.0964306810978,72.69709070353404
43,off,ensemble__inner_holdout,run_271677,above_onb,540,9,1959265214423.7278,60.23511364311929,5.905487795846673
43,off,ensemble__inner_holdout,run_271677,near_onb,60,1,328659378997.1546,74.01119048238073,-69.34365960542421
43,off,ensemble__inner_holdout,source_text_376000,below_onb,600,10,5878609183240.504,98.98324086464086,42.98866565634024
43,off,ensemble__inner_holdout,source_text_376000,near_onb,60,1,400028124600.5096,81.65252849733737,-77.2247359229407
43,off,ensemble__inner_holdout,source_text_376000,above_onb,420,7,1111146814787.424,51.435276360254655,30.38864793500097
43,off,equal_offline,run_271677,below_onb,480,8,5435913037850.239,106.41813204926436,69.87365485696212
