seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
43,alexnet,index=2.2380,2380.025286,below_onb,60,1692572239963.994
43,alexnet,index=3.21242,21242.86319,below_onb,60,1350149890937.7695
43,alexnet,index=4.58389,58389.85471,below_onb,60,927668668315.2795
43,alexnet,index=5.113188,113188.2901,below_onb,60,588221549855.294
43,alexnet,index=6.146381,146381.6505,below_onb,60,-1602465513.3110886
43,alexnet,index=7.184190,184190.9699,below_onb,60,52899943098.445786
43,alexnet,index=8.225704,225704.9618,below_onb,60,-1091386080572.7571
43,alexnet,index=9.271677,271677.6816,near_onb,60,-1145022263178.034
43,ensemble__inner_holdout,index=1.0,-1.42e-06,below_onb,60,693240603123.0236
43,ensemble__inner_holdout,index=10.322114,322114.2428,above_onb,60,-1190020452173.973
43,ensemble__inner_holdout,index=11.376320,376320.1201,above_onb,60,-58322840522.64381
43,ensemble__inner_holdout,index=12.434018,434018.0833,above_onb,60,47834652051.30763
43,ensemble__inner_holdout,index=13.496023,496023.3525,above_onb,60,-15039866505.896263
43,ensemble__inner_holdout,index=14.562158,562158.7854,above_onb,60,17778537348.82779
43,ensemble__inner_holdout,index=15.633482,633482.536,above_onb,60,83688706966.00816
43,ensemble__inner_holdout,index=16.709792,709792.7143,above_onb,60,120451838432.38373
43,ensemble__inner_holdout,index=17.789500,789500.1968,above_onb,60,66667729974.920616
43,ensemble__inner_holdout,index=18.873637,873637.0359,above_onb,60,-94350922454.20042
43,ensemble__inner_holdout,index=2.2380,2380.025286,below_onb,60,1119573116637.863
43,ensemble__inner_holdout,index=3.21242,21242.86319,below_onb,60,767324903752.9094
43,ensemble__inner_holdout,index=4.58389,58389.85471,below_onb,60,741455188511.4186
43,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,260033258346.43686
43,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,-228274986431.67468
43,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,-335838528027.2464
