experiment_name,max_freq_hz,noise_dir_name,r2_mean,rmse_all_mean,rmse_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,epochs_completed
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=0,-1.307741323,389696.7731,401852.9214,0.9999073398,0.9999220478,0.6431372549,0.8441176471,0.6164563781,0.6225589865,209|207|250
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=-4,-0.7383963293,365491.8928,337736.1291,1.0,1.0,0.5794117647,0.6803921569,0.8154121864,0.6621273226,173|182|104
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=-8,0.5288897814,186661.173,79449.22561,1.0,1.0,0.6401960784,0.6931372549,0.8959537572,0.7390368287,106|191|217
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=-12,0.2989602429,223726.9929,100584.6996,1.0,1.0,0.6519607843,0.6852941176,0.9373848987,0.7593432452,83|176|172
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=-16,0.2802932771,230575.4462,115796.328,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,168|171|144
2025.07.09_0.3_1,maxfreq=10kHz,heatflux_SNR=-20,0.4701538608,201421.5102,83533.57653,1.0,1.0,0.631372549,0.6803921569,0.9103942652,0.7380006976,172|155|114
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_no_noise,0.7887082819,128793.7955,73134.71869,0.9145869719,0.9500040062,0.8470588235,1.0,0.7111639709,0.8306695658,262|146|193
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=0,0.5590853682,184812.2744,47086.71638,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,177|207|155
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=-4,0.6127193839,171210.1951,77632.068,1.0,1.0,0.7401960784,0.8362745098,0.8225410404,0.7881587682,134|158|137
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=-8,0.6845771857,157129.1303,24535.21046,1.0,1.0,0.7539215686,0.8362745098,0.8477791639,0.8051752993,197|193|176
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=-12,0.606240186,168835.1576,101450.8463,1.0,1.0,0.7450980392,0.8441176471,0.814148383,0.7889874139,140|232|148
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=-16,0.7722977947,132987.8795,50297.61594,1.0,1.0,0.881372549,1.0,0.7766228874,0.8737779755,105|190|124
2025.07.09_0.3_1,maxfreq=15kHz,heatflux_SNR=-20,0.7789361875,129594.8973,61588.51138,1.0,1.0,0.7588235294,0.8441176471,0.8391033211,0.8065990183,171|158
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_no_noise,0.5203570831,185776.7993,75434.74171,0.9211870431,0.9532215625,0.7539215686,0.8441176471,0.8305467504,0.8003766412,252|151|129
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=0,0.226320476,246164.557,149812.115,0.9999883629,0.9999904165,0.5294117647,0.5294117647,1.0,0.6921686435,75|104|210
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=-4,0.5284685106,186471.8058,59810.32323,1.0,1.0,0.631372549,0.6803921569,0.9103942652,0.7380006976,195|242|156
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=-8,0.6776180284,158262.2906,36371.30929,1.0,1.0,0.7578431373,0.8441176471,0.837445874,0.8053962087,140|158|213
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=-12,0.2083011688,248935.4056,140753.3543,1.0,1.0,0.5294117647,0.5294117647,1.0,0.6921686435,149|188|185
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=-16,0.6277069355,168334.9,34448.14547,1.0,1.0,0.6539215686,0.6803921569,0.9516129032,0.7636735755,225|176|183
2025.07.09_0.3_1,maxfreq=22kHz,heatflux_SNR=-20,0.7142646242,148575.7486,36371.67283,1.0,1.0,0.7539215686,0.8362745098,0.8477791639,0.8051752993,290|166|181
