snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
-4,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,119617.0625,62023.74585,group_occlusion,heat_flux_change,nan,-335439.25,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,751178.25,108165.6642,integrated_gradients,heat_flux,481834958848.0,296121.9375,481834662726.0625,1627149.500621049,501722.2890625,603125.0,-101402.7109375,510255.39999999997,603125.0,-92869.60000000003,173,2323.660714285714,70,0.31473214285714285
-4,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,751178.25,108165.6642,group_occlusion,heat_flux_change,nan,296121.9375,nan,nan,nan,nan,nan,nan,nan,nan,19,261.1607142857143,112,0.5022321428571429
-4,2,alexnet,near_onb_below_val0060,60,221505.1102,219519.890625,1985.2195749999955,integrated_gradients,heat_flux,-38348644.0,-315417.046875,-38033226.953125,120.58075912491057,1657506.390234375,377229.0234375,1280277.366796875,1496782.71953125,377229.0234375,1119553.69609375,56,756.6964285714286,130,0.5825892857142857
-4,2,alexnet,near_onb_below_val0060,60,221505.1102,219519.890625,1985.2195749999955,grad_cam,relative_importance,nan,-315417.046875,nan,nan,858213.612109375,377229.0234375,480984.58867187495,810013.3101562499,377229.0234375,432784.2867187499,84,1131.6964285714287,215,0.9620535714285714
-4,2,alexnet,near_onb_below_val0060,60,221505.1102,219519.890625,1985.2195749999955,group_occlusion,heat_flux_change,nan,-315417.046875,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,2,alexnet,near_onb_above_val0120,120,427276.195,409467.46875,17808.726250000007,integrated_gradients,heat_flux,-5253174272.0,-125469.46875,-5253048802.53125,41867.14787960119,3171699.78203125,472202.421875,2699497.36015625,2366726.54375,472202.421875,1894524.1218750002,168,2256.6964285714284,8,0.03794642857142857
-4,2,alexnet,near_onb_above_val0120,120,427276.195,409467.46875,17808.726250000007,grad_cam,relative_importance,nan,-125469.46875,nan,nan,1558952.61015625,472202.421875,1086750.18828125,1542211.403125,472202.421875,1070008.98125,177,2377.2321428571427,215,0.9620535714285714
-4,2,alexnet,near_onb_above_val0120,120,427276.195,409467.46875,17808.726250000007,group_occlusion,heat_flux_change,nan,-125469.46875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
-4,2,alexnet,worst_prediction_val0006,6,181378.003,14094.291015625,167283.711984375,integrated_gradients,heat_flux,-16225822.0,-520842.646484375,-15704979.353515625,30.153021185039936,1666533.0059570312,274515.244140625,1392017.7618164062,1410030.4423828125,274515.244140625,1135515.1982421875,56,756.6964285714286,152,0.6808035714285714
-4,2,alexnet,worst_prediction_val0006,6,181378.003,14094.291015625,167283.711984375,grad_cam,relative_importance,nan,-520842.646484375,nan,nan,1048984.5997070312,274515.244140625,774469.3555664062,1011886.5017578125,274515.244140625,737371.2576171875,27,368.30357142857144,215,0.9620535714285714
