snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
0,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9996351335922375,0.9996665042121282,0.053473695997494075
0,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.999947223557281,0.999950313378837,0.022321578627670244
0,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.999945837512927,0.9999490404158686,0.0223176108862681
0,2,cnntf_v2_gap,worst_prediction_val0013,integrated_gradients,1,0.01,0.9994058620420189,0.9995128076517125,0.04289149683333974
0,2,cnntf_v2_gap,worst_prediction_val0013,integrated_gradients,2,0.01,0.9994155458743863,0.9995205318940257,0.042482405150199784
0,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9997459791701685,0.9997766488345902,0.03652051900912096
0,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9997655280799674,0.9997944137042317,0.035302088335844625
0,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999668730855249,0.9999687467352533,0.018192771162974897
0,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999663172554825,0.9999682253489204,0.018204054647852585
0,2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9994737170159436,0.9995050312299547,0.06284132158120323
0,2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9995190447125779,0.9995478944000897,0.06152789586124415
0,2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999659074095454,0.9999673178778454,0.019783041870060622
0,2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999667013516707,0.9999680940982878,0.019701721129517895
0,2,alexnet,false_negative_val0124,integrated_gradients,1,0.01,0.9999699073096383,0.9999713030962659,0.017690429839436483
0,2,alexnet,false_negative_val0124,integrated_gradients,2,0.01,0.9999706549433477,0.9999720244775815,0.017474689799506123
0,2,alexnet,worst_prediction_val0330,integrated_gradients,1,0.01,0.9999664871107176,0.9999684347386414,0.016872029292683086
0,2,alexnet,worst_prediction_val0330,integrated_gradients,2,0.01,0.9999659659586243,0.9999679769558181,0.01684937875543529
0,2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.9996462152829072,0.9996753540243982,0.04432109571844849
0,2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.9996660754452036,0.999694246078775,0.04279122317774489
0,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999710355785211,0.9999709807789903,0.033051955965380075
0,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999712888668449,0.9999712036323614,0.033093433415527444
0,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999696029599886,0.9999709873153482,0.018885084025507
0,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999692487074362,0.9999707032020447,0.01883446382536636
0,3,cnntf_v2_gap,worst_prediction_val0002,integrated_gradients,1,0.01,0.9987598980898381,0.998920503155079,0.07721531237766545
0,3,cnntf_v2_gap,worst_prediction_val0002,integrated_gradients,2,0.01,0.998839388002967,0.9989917870868972,0.07601609158636624
0,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9993929997455796,0.9994570053334226,0.06092371265082119
0,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9994161333554246,0.9994777331091139,0.060829201946982804
0,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999665395500023,0.9999680317208015,0.02031371523663092
0,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999659938189854,0.9999675164874074,0.020442237851829862
0,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999772467749907,0.9999768842249617,0.02910266681533856
0,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999787438349634,0.9999783969371698,0.028607380107026077
0,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999750095441619,0.9999758832838395,0.018433420264456053
0,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999749548507204,0.9999758151449872,0.018391231493376674
0,3,alexnet,worst_prediction_val0008,integrated_gradients,1,0.01,0.9983253161775354,0.9984400745168336,0.08719705255973137
0,3,alexnet,worst_prediction_val0008,integrated_gradients,2,0.01,0.9981669695128147,0.998293184295186,0.08851854560222976
0,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.9989314936568411,0.9990060954969379,0.06601741182028123
0,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.9990602959519242,0.9991284331646091,0.06274252802032437
0,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999500733910477,0.999952281867699,0.023060482793395475
0,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999524308274271,0.9999545669169158,0.02280986679209489
-4,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9997956283954706,0.9998038133019083,0.05766847879732476
-4,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9998008709262264,0.9998087272405994,0.057054596130865436
-4,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999590651459677,0.9999610689112629,0.021555696543809524
-4,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999565568241902,0.9999586856465087,0.021685127802889354
-4,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999721670285091,0.9999721766203274,0.029996327351851714
-4,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.999972114972525,0.9999721317457747,0.02977455947831284
-4,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,1,0.01,0.9996514213082566,0.999671794046543,0.06535577740945397
-4,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,2,0.01,0.9996472706418479,0.9996679040846234,0.06548516926371102
-4,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9998004299016453,0.9998128703107401,0.04547431438123659
-4,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9998128693576548,0.9998247644147702,0.04465546520575114
-4,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9997279724683761,0.9997328007922531,0.05444288648568489
-4,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9997284427776898,0.9997336344767563,0.05393902835403467
-4,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999526021487165,0.9999546893271659,0.022454296819643747
-4,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999514889919261,0.9999536133753004,0.022425855075016054
-4,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.9999578944644815,0.9999577828811071,0.034124015099271425
-4,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.99995809166624,0.9999579700752885,0.033705157962817714
-4,1,alexnet,worst_prediction_val0145,integrated_gradients,1,0.01,0.9992707338378483,0.999302670095838,0.06457490911616856
-4,1,alexnet,worst_prediction_val0145,integrated_gradients,2,0.01,0.9993394443146414,0.9993694186369059,0.06327776802474289
-4,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9997660027280756,0.9997725954988936,0.042998814417760524
-4,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9997487714431411,0.9997564167570573,0.04347820063569389
-4,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9998751455715816,0.9998808036554668,0.045343225047703474
-4,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.999875888329842,0.9998816631501776,0.044766809975102725
-4,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999585804180746,0.9999606779409529,0.021449103338372258
-4,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999575567414619,0.9999597145997596,0.021505013479104742
-4,2,cnntf_v2_gap,worst_prediction_val0033,integrated_gradients,1,0.01,0.9995679793217885,0.9996285286198714,0.04429857133651142
