experiment_name,noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.11_0.3_2,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.7639426993086574,0.03668172062857503,127678.53596882657,16044.962739500419,100580.15046265192,14984.541760491189,0.9011056334615605,0.015555846245536971
2025.06.11_0.3_2,reference_SNR=0,group_kfold,total_power_only,3,0.8588007141416911,0.0671039444407825,96735.92601884429,21196.8020605161,70229.11087944573,14942.672503102694,0.9416814164291507,0.03591232647475299
2025.06.11_0.3_2,reference_SNR=0,kfold,full_spectrogram_pca,3,0.8661352741722861,0.02178248897895648,96460.39958298813,10150.046769127313,77690.50543448351,10732.026997337494,0.9611323965649573,0.006374158050135276
2025.06.11_0.3_2,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.7925191496076454,0.03654974907526567,119843.90051851732,9533.28097510633,96943.91945253906,10750.859768457893,0.9105166119135181,0.0375356750268541
2025.06.11_0.3_2,reference_SNR=0,kfold,total_power_only,3,0.9249992789774694,0.05608936213081747,69273.5750570585,29274.44904880127,43368.54722558076,20656.462169334594,0.9634910262228376,0.02822440721145245
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.8383398337391892,0.020779087580099637,105445.68443821713,7763.898244379816,86441.49876142795,7329.233843119916,0.9513931304646476,0.02305575964306633
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.7556381320563702,0.08486162053042438,129304.8332123094,28375.86075346569,102919.57178795572,20983.489762376874,0.9073015609592491,0.01864553624017237
2025.06.11_0.3_2,reference_SNR=-4,group_kfold,total_power_only,3,0.8495633376824837,0.06585062600494077,100272.43347757717,20842.717827056054,74739.33362250128,16984.967230008475,0.9414434758624958,0.03480451343933936
2025.06.11_0.3_2,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.8434488840996188,0.03338383792644018,104290.65654707968,14298.009172869855,82711.82468219184,14160.152020777763,0.9498698819757644,0.0011425681114669488
2025.06.11_0.3_2,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.8344776181227885,0.05945124160001128,106491.86650300819,23609.639219071698,88618.74656215712,16470.81984075904,0.9288942616707788,0.028378896675265757
2025.06.11_0.3_2,reference_SNR=-4,kfold,total_power_only,3,0.9210803334404826,0.024012775089693007,73861.26809159045,13696.211111011246,44553.04708121622,8289.488448305972,0.9619570197997662,0.01376709738908706
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.8182661068444911,0.031569351082167185,111774.86180085504,12019.177439603782,89968.18108469184,11070.555969189896,0.937233502856809,0.02757344279453843
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.7836213136392249,0.05554952520968754,121983.38875351264,21584.162591927332,99759.37789389322,10906.803122909312,0.9354249986070787,0.007242541125754808
2025.06.11_0.3_2,reference_SNR=-8,group_kfold,total_power_only,3,0.8519709966441492,0.07132894333059252,98960.18344725139,21944.55358259208,73477.40767787152,16067.550589505718,0.9372038910669579,0.04261129197636364
2025.06.11_0.3_2,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.8563780970644261,0.006332283949260467,100078.48466808787,5624.196057961889,80732.57897955296,6867.343065725136,0.9524630247466335,0.004975093864342447
2025.06.11_0.3_2,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.8413584047246809,0.025250397135969462,105032.63700885215,10893.088497953842,89365.01264802518,12263.784432191034,0.9304352080647401,0.021246678256382906
2025.06.11_0.3_2,reference_SNR=-8,kfold,total_power_only,3,0.921229832558173,0.017560440902567614,73953.94267186277,10851.851492086716,45877.738715180596,5045.881855986322,0.963341684933492,0.010080364944549645
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.8258058286311987,0.034455920191261445,109154.02790505899,9748.682120486188,89897.48721184461,14777.180800426206,0.9366978793149472,0.028078924141053282
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.7922597440869832,0.07637377992029823,118942.55655342397,28126.274704094707,96748.3339207335,21416.545481606034,0.9280976364108929,0.01979941619046176
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,total_power_only,3,0.8527861692874437,0.08445979899705075,97576.53892092948,26410.629137431042,71589.0773873035,21431.443498010798,0.9332311615715351,0.05034177867370722
2025.06.11_0.3_2,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.8730074852619264,0.029567142711403826,93732.85472528751,13050.083547764429,75325.85661874045,13006.839804727088,0.9516287805882832,0.0031274811513683567
2025.06.11_0.3_2,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.8413836740812434,0.019312585568176898,105110.66521197949,9351.8157638856,87846.31745552518,7869.936057408827,0.93622843799435,0.01856367635028964
2025.06.11_0.3_2,reference_SNR=-12,kfold,total_power_only,3,0.9065911828288334,0.00603942295373165,80637.82714063705,3254.2767679065555,50177.40365897143,4605.880444562556,0.9561849419229175,0.009631673232533411
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.8353910790865974,0.0200084042657417,106634.38245511502,11516.683256545668,88699.07572503906,10780.750629343618,0.9476095913680179,0.010845197790589884
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,0.7819616754728852,0.07491881133619954,121940.4680101401,27249.482262576108,99953.30942073352,21137.894230504513,0.9246772047866365,0.027453882938629545
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,total_power_only,3,0.8505723019307281,0.0746704886519817,98712.17734433885,23388.06566808655,73513.48461150161,16099.153055370336,0.9342625364059339,0.04247167607626645
2025.06.11_0.3_2,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.8859503939964178,0.03023224344501272,88666.37615727175,13634.997764665448,71991.34992861545,16169.236062434877,0.9552237622195294,0.008582021633125108
2025.06.11_0.3_2,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.8062063745046912,0.03194102199139872,116084.27219968692,12614.196648783161,95129.13677180989,12143.09295260648,0.9220624789084542,0.011074157162867884
2025.06.11_0.3_2,reference_SNR=-16,kfold,total_power_only,3,0.9162850507214583,0.005168149958603878,76335.74454827784,2746.557812912896,48158.0889024901,6680.185996599311,0.9616330871397837,0.0065810179398966525
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.8482008827444635,0.015874701658643367,102381.97801782451,9787.449718301566,84601.31904302519,10247.850864129716,0.9562903246731862,0.01330860973682583
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.7942197647316952,0.08184354938237436,117774.16288164868,26783.648112738232,98030.18079660156,24172.127082297993,0.9241931340034216,0.04277262684506174
2025.06.11_0.3_2,reference_SNR=-20,group_kfold,total_power_only,3,0.8501092659492748,0.07670847295558139,99516.2068035095,24058.747449742765,75508.63396225193,18404.184239298153,0.9381748096111914,0.04503444982533003
2025.06.11_0.3_2,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.8753388781840569,0.0392815126561104,92559.5202081061,17078.614484917605,75913.14731892793,19601.45945275544,0.9513781881206501,0.010613218295142177
2025.06.11_0.3_2,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.836395854452553,0.02887920771082774,106624.47491384334,12138.019342599575,86954.66512687934,13093.669288616495,0.9276229427988661,0.004950595181833997
2025.06.11_0.3_2,reference_SNR=-20,kfold,total_power_only,3,0.9105273336033655,0.042655751536862005,77845.20056626377,20837.692585660276,52815.21388310548,17731.837835622915,0.9551096847081647,0.022745651959805928
