experiment_name,test_noise_level,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.11_0.3_2,no_noise,kfold,full_spectrogram_pca,3,0.8494867517302067,0.020529285829761216,102419.18206351025,10505.630905722626,81773.74218969182,9107.42685190828,0.9530023971914993,0.007003199113777367
2025.06.11_0.3_2,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.7706392523311777,0.11375465524629207,123800.14589671585,36530.901270568924,99850.12303677516,29150.781729568833,0.8915210755756181,0.065304742627845
2025.06.11_0.3_2,no_noise,kfold,total_power_only,3,0.9284646434674576,0.05253048145893237,67827.22353244507,27952.97307557097,42679.703543393254,21507.89384900307,0.9651807114672791,0.02654263471659593
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.7618632330163079,0.047470967482523184,127997.65344125447,17524.597006467324,110878.31766010851,16264.171722732819,0.9441132015539494,0.01361281029889757
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,-0.6290632284964839,0.8997797886320316,320689.27692757355,93675.08320563156,268011.37816288637,72212.61067329855,0.2337094071944884,0.47846724317645273
2025.06.11_0.3_2,reference_SNR=-12,group_kfold,total_power_only,3,0.6158463162363342,0.12946807675693442,160438.66758035615,23366.761465312713,127359.82570177519,19555.50024991705,0.9343968208350045,0.03519180923619927
2025.06.11_0.3_2,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.7677326975453104,0.11715466376727454,125168.65961639439,36892.36111087434,105100.9877163585,33111.24471127183,0.9294049310550916,0.030956985794635895
2025.06.11_0.3_2,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,-0.5253609517178488,0.3309757471285716,324986.09691380564,38718.11865198722,268469.04588260857,30071.388138622275,0.2483804038010324,0.5110258508331031
2025.06.11_0.3_2,reference_SNR=-12,kfold,total_power_only,3,0.6029913515660985,0.10034414192198916,165703.11964484278,25235.94315404841,118751.70248066405,24650.634835088,0.9216684481785409,0.01819194444587321
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.7565336342505072,0.05106323120259392,129358.07138411205,17987.304626911817,112075.37512538629,17262.77879168958,0.9384025994930084,0.02240029719336205
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,-0.6825195117506676,0.9518706330364688,325104.7633826159,98344.97511679278,270600.735017053,76010.58977208857,0.2227294585777777,0.50272878292171
2025.06.11_0.3_2,reference_SNR=-16,group_kfold,total_power_only,3,0.46166836942661305,0.27468012402348896,188401.18271836956,44589.152439493366,148248.97674344186,37202.111629481224,0.8979478663379442,0.028735746582497553
2025.06.11_0.3_2,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.763943437595898,0.11615515661436472,126254.17852025607,36632.59599032671,104791.66683483073,31775.391697209685,0.9339565308686707,0.020549225452415276
