experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,group_kfold,full_spectrogram_pca,3,0.8344341095273785,0.08236828220492497,95268.09058600843,47439.60776677572,70755.18339820302,34532.63035873428,0.9483495455269346,0.014618609819745242
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,0.7079914512814596,0.18634053568190492,112144.44308372973,4873.77542185059,89731.16954882194,3769.047665802087,0.9339810418487319,0.013300901251624399
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,group_kfold,total_power_only,3,0.8767065711446144,0.060471158793616774,75032.88533368614,6161.557580281419,59569.52580903375,5404.532549173379,0.9448255719344995,0.03882920858755002
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,kfold,full_spectrogram_pca,3,0.8499941682641688,0.06403242242093049,102516.5808206338,26939.090189544866,70920.83662647473,21117.205554586402,0.9552772025569665,0.014110345775597031
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.8184260722427318,0.0409010001647042,113729.3094944238,11957.940550011466,88151.59951948166,9159.08410228754,0.9152398358409469,0.028685985272429597
2025.06.18_0.3_3,heatflux_SNR=-16,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-16,kfold,total_power_only,3,0.9522341471670949,0.01661851693631695,58198.88323877024,11801.41678524283,43144.805189685314,7923.09296151448,0.9798977988714667,0.004821161607219856
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.8751864813220459,0.0655598120176839,80428.60299141631,33983.14760333846,60873.87702079417,20650.57668304729,0.9565781617312977,0.017507560152458964
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,0.692767690347226,0.2248752374832195,112699.48164904451,6213.713165888351,92436.57808446778,6422.139951685127,0.9333013360930744,0.015869856094731755
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,3,0.8803023440836966,0.047165212801349436,75099.59402430977,9429.925608821979,59759.678651915696,7249.06389505641,0.9478742997290386,0.03150331134330574
2025.06.18_0.3_3,heatflux_SNR=-20,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,0.8562996079039413,0.06989485574496342,100119.50239954796,28835.24029677508,70262.70055469694,22759.15023276659,0.9656399427916594,0.005817072897788841
