experiment_name,variant,noise_dir,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.5643345892215813,0.15621024057107347,177583.70184662333,38036.51338305901,147254.9920775457,30371.871690880984,0.8099913025631912,0.1245550474629521
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.22416956588399853,0.17440725222959383,299232.9538801511,30391.326125182244,248483.94738544358,35610.79821074284,0.01934009255577418,0.25731943356275155
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,3,0.6900657420593536,0.09414543873881484,150116.80314977336,28212.79638584861,112267.77111192957,31032.470314712784,0.853791548493304,0.05069144528292933
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,0.6311158696367533,0.09909001694490907,168041.603938557,15630.882589453617,140490.84210112123,15148.054049660906,0.8102969022518902,0.07536284599387134
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,-0.2772715170816758,0.28701469802778157,312893.01049687905,13373.767645948219,270265.4819933528,31063.910307120397,0.015764119299600903,0.18618095323032946
2025.07.09_0.3_1,relative_mixture,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_mixture\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,0.6420136425813573,0.13806565759783151,162934.90995558686,17797.350339345394,107616.02561139425,13620.561198290292,0.8214329386835703,0.07714656793520791
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,full_spectrogram_pca,3,0.5574137044964566,0.1495654895378343,178879.78746567864,35920.36012400276,146728.8011704243,29413.014296020483,0.8149427227035293,0.11833370313269244
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.2844908628952025,0.1501818373575395,306819.3086925503,30019.25748293377,256360.96825470452,29613.55756027661,0.02945284086079238,0.18315643275593954
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,3,0.68574005124841,0.08690526128464163,151270.11249754904,26295.133098438946,114084.43795664176,29599.900052106437,0.8780378697293133,0.029954991974627122
2025.07.09_0.3_1,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.07.09_0.3_1\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,0.6098206501033836,0.11710298880789442,172246.02105048703,15966.847887572354,145561.3971403107,13336.046374908974,0.795321619589553,0.08731010697773706
