experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,full_spectrogram_pca,2,60,30,0.8185862370782497,118468.64567906459,79007.64338777651,0.953752948682977
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8659436626771249,101838.49735080669,84441.78681088069,0.9442806791411973
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,total_power_only,3,60,30,0.9517371573607109,58625.847901286805,38502.65498927374,0.9765379221959021
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,full_spectrogram_pca,3,60,30,0.8062454818423515,117465.03361133308,81210.52672241238,0.9377556029868724
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,60,30,0.7799589430247638,125179.88527868022,102186.80706721968,0.9034554058897833
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,total_power_only,1,60,30,0.8943169363134413,81174.55772212858,64091.26422083333,0.9719460816901854
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,full_spectrogram_pca,1,60,30,0.7638438061875376,121343.60799552557,85625.61146541666,0.936320973292458
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.7033630246155518,135997.17147681303,102251.41693677082,0.9072075803352575
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,total_power_only,2,60,30,0.952997334421241,60731.69372130704,50783.07071150001,0.9798182168586065
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,full_spectrogram_pca,2,60,30,0.8282875605692617,116079.36620470807,97043.58715545834,0.9658641942880655
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8618347137092793,104124.66562696139,87431.06384129167,0.9326824033274305
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,total_power_only,3,60,30,0.8018948950282911,69024.1849244298,53594.69997955959,0.8970531117972325
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,full_spectrogram_pca,3,60,30,0.9291261727277006,41285.390462531424,32789.37921721845,0.9652085826229967
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.27858405132564223,131718.36251888762,109668.61067565336,0.8719396166518147
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,total_power_only,1,60,30,0.9614775769162169,50948.92230834707,35627.54560605723,0.9856334648399748
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,full_spectrogram_pca,1,60,30,0.9390179874084217,64103.10709110525,41997.61921596967,0.9793897596845327
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8264597475144655,108137.99579788733,83071.77423163634,0.9402365747568748
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,total_power_only,2,60,30,0.9333630428527677,71800.23846808284,54786.83640398484,0.9756056521808717
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,full_spectrogram_pca,2,60,30,0.7960661616263652,125606.7430406528,84605.72167282859,0.947417006995993
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8493585694794201,107954.44361413414,85342.17172113067,0.930326125989007
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,total_power_only,3,60,30,0.952467306777847,58180.694238387536,37788.717976044565,0.977610717386651
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,full_spectrogram_pca,3,60,30,0.8022590366212135,118667.2862608602,85160.07665893841,0.9340717136081619
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8073827278891,117119.79457858301,92708.7355321155,0.9084254956769505
