experiment_name,variant,noise_dir,data_path,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,1,60,30,0.9381797288426862,66280.08464981723,46914.12105717695,0.9713734417453038
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,1,60,30,0.9409355685682171,64785.917768276195,47524.43726236966,0.9771818768958115
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,1,60,30,-0.11641486073983054,281663.3925910151,241869.9285279947,-0.014195922231829831
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,2,60,30,0.9530661844691604,55832.24717652267,40526.66942927311,0.9766911091633667
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,2,60,30,0.8819031699873225,88564.8307741444,67572.156466139,0.9560803323715494
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,2,60,30,0.029830058455566855,253843.5217598546,200892.52012468068,0.19391327051608023
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,total_power_only,3,60,30,0.9358247534729192,69767.54096628241,44998.62544883094,0.9719505605451179
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,full_spectrogram_pca,3,60,30,0.9027203119598678,85897.54029392952,54078.162118853,0.9615980893098962
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,60,30,-0.3366348010466138,318402.17475986265,270197.91317739466,0.11080989256900962
2025.06.18_0.3_3,relative_noise_only,heatflux_SNR=-20,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260724_1s_p0_relative_noise_only\maxfreq=22kHz\heatflux_SNR=-20,group_kfold,total_power_only,1,60,30,0.9128861032098254,75613.3194957563,63093.504349201496,0.9684561295323759
