experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8212800888304971,118777.52649069027,98066.58103149998,0.9537229734763936
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,3,60,30,0.7665346759780736,127264.31563829214,100154.55125757001,0.8802714853589308
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,60,30,0.8223907000288666,111001.36135997054,95320.22462590336,0.9254930355898314
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.7380391015171206,134807.38662421433,120591.70960423669,0.8746497100124144
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,1,60,30,0.8250608808715876,108572.95833916965,63047.364701995844,0.9185985602621248
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,1,60,30,0.8610743225067903,96754.11958178629,81654.91978180301,0.9294845593388193
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,1,60,30,0.837110579806317,104767.03241188843,85760.825778053,0.9167031375977127
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,2,60,30,0.8978711847346676,88887.86087262683,68606.68753004733,0.9517612045179529
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,2,60,30,0.8353147625218762,112874.44893407717,97889.20356879734,0.9295934921600763
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8188004791427349,118398.67175671362,104135.68533963068,0.9261178237789014
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,3,60,30,0.9100723266880375,80025.67878305278,54122.010099443636,0.9541033229372995
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,3,60,30,0.8589736666259142,100215.01487706516,78849.79571155302,0.938710045620967
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,60,30,0.836996094135049,107741.17151251063,79507.531925303,0.9320468777371617
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,1,60,30,0.8957122739428595,82731.55415724315,67025.37432125001,0.9599219503613707
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,1,60,30,0.8428573905930878,101555.05930440525,90015.94230458334,0.9408378952896452
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.8782323155150271,89396.51889810733,74750.31413468749,0.9423099395284994
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,2,60,30,0.8243354371320301,117757.85511726,97525.17916432492,0.9144294294393818
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,2,60,30,0.8935983821581639,91647.77436986445,74091.1247125,0.9586841716753923
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.845038506478389,110601.16555662193,83468.66969702083,0.9524299806358206
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,3,60,30,0.7306084901430597,136705.94648402013,106346.86942163251,0.8611221736917463
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,60,30,0.8197457481237387,111824.82128226318,93239.50438257003,0.9203263697086151
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.7362414219350226,135269.1466601223,122005.91194798668,0.8746906094462674
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,1,60,30,0.8923182641368742,85182.27360510125,52776.800797653385,0.9474619166314617
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,1,60,30,0.8655369493786421,95187.44807060425,80083.768218678,0.9346747775819634
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8746888266567557,91891.02628448594,74301.547483678,0.9366327227005243
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,2,60,30,0.877356864013734,97406.94693777537,76233.16987921401,0.9398634838587139
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,2,60,30,0.8165961719390613,119116.65959430758,104909.77929858903,0.9201420789852136
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,2,60,30,0.7652284802361381,134769.31268906733,118002.05715588068,0.9061454009159498
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,3,60,30,0.8749825387999933,94355.67494825416,61867.839152178014,0.9366692244010673
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,3,60,30,0.8785312578717996,93006.85414220455,77981.511313428,0.9497163657061776
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8669362765536687,97344.74772145507,72281.29018155302,0.9382294486660402
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,1,60,30,0.854762630072408,97632.35649612921,76252.11637125001,0.9432113606885744
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,1,60,30,0.7980287042686091,115132.890926312,98914.73839375001,0.9142209336171837
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.833348650538041,104582.49566244827,92156.89185791666,0.9319498997504115
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,2,60,30,0.8326647377822375,114932.1527320109,94623.47187082874,0.9255669881040878
