experiment_name,role,source_wav_id,heat_flux,q_over_onb,threshold_in_1e9_units,n_peak_pass,n_training_retained_if_applied,n_strong,passing_chunk_indices
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,0.1,0,60,0,
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,0.3,0,60,0,
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,1.0,0,60,0,
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,3.0,0,60,0,
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,10.0,0,60,0,
2025.06.11_0.3_2,train,index=3.2.10E+04,20979.71604,0.0568589728108663,30.0,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,0.1,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,0.3,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,1.0,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,3.0,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,10.0,0,60,0,
2025.06.11_0.3_2,train,index=4.5.76E+04,57593.31665,0.1560887106024895,30.0,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,0.1,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,0.3,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,1.0,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,3.0,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,10.0,0,60,0,
2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,0.3015482495905821,30.0,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,0.1,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,0.3,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,1.0,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,3.0,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,10.0,0,60,0,
2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,0.391145869752895,30.0,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,0.1,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,0.3,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,1.0,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,3.0,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,10.0,0,60,0,
2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,0.49156847125116,30.0,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,0.1,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,0.3,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,1.0,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,3.0,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,10.0,0,60,0,
2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,0.6003204721320795,30.0,0,60,0,
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,0.1,38,60,5,1|2|3|4|5|6|7|9|10|11|12|16|17|18|19|20|23|24|26|28|29|30|31|36|37|38|39|40|43|48|49|50|51|52|53|54|55|56
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,0.3,38,60,5,1|2|3|4|5|6|7|9|10|11|12|16|17|18|19|20|23|24|26|28|29|30|31|36|37|38|39|40|43|48|49|50|51|52|53|54|55|56
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,1.0,35,60,5,1|2|3|4|5|6|7|9|10|11|12|16|18|19|20|23|24|26|28|29|30|31|37|38|39|40|43|48|49|50|51|53|54|55|56
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,3.0,26,60,5,1|2|3|4|5|6|7|9|10|11|12|18|19|20|26|28|30|39|40|43|48|49|50|53|55|56
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,10.0,5,60,5,3|19|20|39|40
2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,0.7233700127003472,30.0,0,60,5,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,0.1,0,60,0,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,0.3,0,60,0,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,1.0,0,60,0,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,3.0,0,60,0,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,10.0,0,60,0,
2025.06.18_0.3_3,test_description_only,index=1.0,-1.42e-06,-3.773383149491613e-12,30.0,0,60,0,
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,0.1,24,60,3,2|3|4|5|6|7|8|10|11|12|13|15|18|19|20|21|22|23|24|25|30|32|33|36
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,0.3,22,60,3,2|3|4|6|7|8|10|11|12|13|18|19|20|21|22|23|24|25|30|32|33|36
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,1.0,15,60,3,2|4|7|11|12|13|18|19|20|22|23|24|25|30|32
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,3.0,9,60,3,2|11|12|13|18|20|22|24|25
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,10.0,3,60,3,2|11|24
2025.06.18_0.3_3,test_description_only,index=10.322114,322114.2428,0.8559580676005423,30.0,2,60,3,2|11
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,0.1,56,56,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|34|35|36|37|38|39|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,0.3,56,56,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|34|35|36|37|38|39|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,1.0,54,54,29,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|34|35|36|38|39|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,3.0,47,47,29,0|1|2|4|5|6|7|8|9|10|11|12|13|14|16|17|18|19|20|21|23|25|26|27|28|29|34|35|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,10.0,29,29,29,1|5|7|8|9|10|11|12|14|16|17|19|20|25|26|34|35|42|45|47|48|51|52|53|55|56|57|58|59
2025.06.18_0.3_3,test_description_only,index=11.376320,376320.1201,1.0,30.0,2,2,29,16|56
2025.06.18_0.3_3,test_description_only,index=12.434018,434018.0833,1.153321494435822,0.1,60,60,60,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
