experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,spectrum_method,spectrum_unit,peak_850_1200_psd,peak_850_1200_hz,peak_1250_1650_psd,peak_1250_1650_hz,peak_2100_2500_psd,peak_2100_2500_hz
2025.06.11_0.3_2,index=1.3.28E-04,34,34.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0034.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.0548409380602485e-11,1055.126953125,1.2691273364491045e-11,1356.591796875,2.1680336858870057e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,35,35.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0035.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.904429556898255e-11,1055.126953125,1.8384049707540944e-11,1356.591796875,2.1842825610827893e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,36,36.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0036.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.9422431472522344e-11,1055.126953125,1.4384117376134159e-11,1356.591796875,1.872395462527097e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,37,37.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0037.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.4902168650555916e-11,904.39453125,1.1200834099282491e-11,1356.591796875,1.7763229487938154e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,38,38.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0038.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.7953019486797954e-11,904.39453125,9.71534458398766e-12,1356.591796875,1.6861871588257275e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,39,39.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0039.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.0365511933920357e-11,904.39453125,1.0396493632958935e-11,1356.591796875,1.659374081344618e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,40,40.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0040.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,1.980259058591372e-11,947.4609375,9.495175056300064e-12,1356.591796875,1.3013636724102883e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,41,41.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0041.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.273708544252669e-11,1055.126953125,1.0533881094204147e-11,1356.591796875,1.6427424958342737e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,42,42.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0042.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.1858290730329138e-11,947.4609375,1.0536300975042027e-11,1356.591796875,1.558683211766222e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,43,43.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0043.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.0719139114797464e-11,947.4609375,1.0180539163525125e-11,1356.591796875,1.3235272887378323e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,44,44.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0044.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.545151746394137e-11,1055.126953125,1.2841705960426326e-11,1356.591796875,1.6091501334691302e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,45,45.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0045.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.5381208199763e-11,1055.126953125,1.8489534835629372e-11,1356.591796875,2.138993487070091e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,46,46.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0046.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.194982968731702e-11,1055.126953125,1.6266034273362675e-11,1356.591796875,1.9028764136426377e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,47,47.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0047.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.714920954107549e-11,1055.126953125,2.064446619175378e-11,1356.591796875,2.052372880805255e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,48,48.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0048.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.201600006087408e-11,1055.126953125,1.4855142265161374e-11,1356.591796875,1.7308341308786156e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,49,49.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0049.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.8258841322481967e-11,1055.126953125,1.9858576905517775e-11,1356.591796875,1.8197338859361235e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,50,50.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0050.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,4.3275549643484505e-11,1055.126953125,2.4764887378221573e-11,1356.591796875,2.150055024170197e-11,2304.052734375
