snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error,maxfreq_khz
-8,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.9209504849226254,75364.19356688467,49590.822702643214,0.9665893057041954,29350.55701743381,23168.115231250005,19952.29249999998,19952.29249999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,349025.8125,-19952.29249999998,22
-8,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9138075605881096,78695.52507039174,61720.35076384765,0.8888021927440272,53545.34351497699,46225.737584375005,39027.85499999998,39027.85499999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,329950.25,-39027.85499999998,22
-8,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9337078240816088,69015.49200333381,50159.67847207322,0.938515451616231,39815.904963157525,29865.36305937504,19949.141458333357,19949.141458333357,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,349028.9635416666,-19949.141458333357,22
-8,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9334647907621112,69141.88489280692,47886.59822021646,0.9461355465883508,37267.02511161085,26597.995076192758,20108.95316524804,20108.95316524804,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,348869.15183475194,-20108.95316524804,22
-12,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9219407476169504,74890.65776693265,58919.72104413628,0.8899413274593315,53270.37236713587,39520.43299999999,1998.1206249999811,1998.1206249999811,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,366979.984375,-1998.1206249999811,22
-12,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.918027659829093,76744.82817813779,49362.92619118489,0.9646331814025638,30197.54206024491,21158.371090625005,2607.8393749999814,2607.8393749999814,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,366370.265625,-2607.8393749999814,22
-12,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.9329126286090088,69428.18933629907,55878.47873016059,0.8948818136855802,52061.00252463432,44650.718053125005,35352.19874999998,35352.19874999998,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,333625.90625,-35352.19874999998,22
-12,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.9332051002108872,69276.6857613682,49161.10491340713,0.9418613008131984,38717.406003870645,27708.93141875004,12623.203958333354,12623.203958333354,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,356354.9010416666,-12623.203958333354,22
-12,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9336400933982733,69050.73954954819,47272.838312524415,0.9494885186272498,36088.484953741,23745.52880341849,13183.353048114455,13183.353048114455,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,355794.7519518855,-13183.353048114455,22
-16,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.9207605256604292,75454.69087321725,59604.593656983496,0.8892698462520493,53432.62973213282,40188.50331249999,6571.8549999999805,6571.8549999999805,1,1,1,0.9444444444444444,1,0.875,0.9333333333333332,0.9375,1,0,362406.25,-6571.854999999981,22
