maxfreq_khz,snr,model,source_wav_id,y_true,error,fraction_squared_error
22,-16,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,45557.66532596824,0.03272235490612462
22,-16,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,-66656.63941976234,0.07005005161997152
22,-16,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,-44783.832787913445,0.031620166328453075
22,-16,ensemble__inner_holdout,index=7.1.81E+05,181378.003,-88969.73709576795,0.1247976034354185
22,-16,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,-114091.93056158882,0.2052255786196386
22,-16,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,-21862.364134829928,0.007535566001242098
22,-20,rf,index=1.3.28E-04,0.0003280469999999,135497.562171953,0.18056378412777732
22,-20,rf,index=10.3.15E+05,315466.1173,-29182.882924999984,0.00837575702600554
22,-20,rf,index=11.3.69E+05,368978.105,-6843.542499999981,0.00046060603290751977
22,-20,rf,index=12.4.27E+05,427276.195,-33151.97625000001,0.010809025211492006
22,-20,rf,index=13.4.89E+05,489453.9981,69597.81439999997,0.04763858878193232
22,-20,rf,index=14.5.54E+05,554196.3218,21364.928199999966,0.004489216597292292
22,-20,rf,index=15.6.24E+05,624442.5514,-1755.1451499999966,3.0296590804712975e-05
22,-20,rf,index=16.6.98E+05,698421.296,-20270.045999999973,0.004040891161007808
22,-20,rf,index=17.7.77E+05,776647.2223,-45600.59730000002,0.02045072680907774
22,-20,rf,index=18.8.59E+05,859343.9142,-113696.2267,0.1271334369989327
22,-20,rf,index=2.2.36E+03,2355.33535,133016.4380875,0.17401164510410716
22,-20,rf,index=3.2.10E+04,20979.71604,78655.1511475,0.06084459778335372
22,-20,rf,index=4.5.76E+04,57593.31665,18890.95288125,0.0035097437891260133
22,-20,rf,index=5.1.11E+05,111264.7017,24203.212362499995,0.00576121002031195
22,-20,rf,index=6.1.44E+05,144324.2618,-44659.80086250001,0.019615584292731955
22,-20,rf,index=7.1.81E+05,181378.003,-105396.75690625,0.10925018473285322
22,-20,rf,index=8.2.22E+05,221505.1102,-145963.7273875,0.20953548175049824
22,-20,rf,index=9.2.67E+05,266907.6965,37021.03787499998,0.013479223189787783
22,-20,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,157836.116859453,0.2753292298340955
22,-20,cnntf_v2_gap,index=10.3.15E+05,315466.1173,-46588.35167499998,0.023988010747229293
22,-20,cnntf_v2_gap,index=11.3.69E+05,368978.105,-28595.26124999998,0.00903707074036525
22,-20,cnntf_v2_gap,index=12.4.27E+05,427276.195,-9529.101250000007,0.00100356019570464
22,-20,cnntf_v2_gap,index=13.4.89E+05,489453.9981,788.7987749999738,6.8765720778432626e-06
22,-20,cnntf_v2_gap,index=14.5.54E+05,554196.3218,-21479.915550000034,0.005099230968191777
22,-20,cnntf_v2_gap,index=15.6.24E+05,624442.5514,-17078.082649999997,0.0032234264598145646
22,-20,cnntf_v2_gap,index=16.6.98E+05,698421.296,20052.547750000027,0.004444047199554707
22,-20,cnntf_v2_gap,index=17.7.77E+05,776647.2223,-37550.31605000002,0.015583562168633087
22,-20,cnntf_v2_gap,index=18.8.59E+05,859343.9142,-88439.2267,0.08644291777727946
22,-20,cnntf_v2_gap,index=2.2.36E+03,2355.33535,108801.7584,0.13083121453471847
22,-20,cnntf_v2_gap,index=3.2.10E+04,20979.71604,67127.15505375,0.049800766549240275
22,-20,cnntf_v2_gap,index=4.5.76E+04,57593.31665,28787.4724125,0.00915896952726621
22,-20,cnntf_v2_gap,index=5.1.11E+05,111264.7017,7822.384237499995,0.0006762664371870602
22,-20,cnntf_v2_gap,index=6.1.44E+05,144324.2618,-53687.27351875001,0.031855339848636775
22,-20,cnntf_v2_gap,index=7.1.81E+05,181378.003,-91324.3155,0.09217484076226685
22,-20,cnntf_v2_gap,index=8.2.22E+05,221505.1102,-133292.80941875,0.19635998394788368
22,-20,cnntf_v2_gap,index=9.2.67E+05,266907.6965,-76680.64181250002,0.0649846857298545
22,-20,alexnet,index=1.3.28E-04,0.0003280469999999,76528.312171953,0.05079582373988303
22,-20,alexnet,index=10.3.15E+05,315466.1173,-69415.98448749998,0.04179291966456292
22,-20,alexnet,index=11.3.69E+05,368978.105,-72967.66749999998,0.04617901496124317
22,-20,alexnet,index=12.4.27E+05,427276.195,-27612.101250000007,0.006612758338105119
22,-20,alexnet,index=13.4.89E+05,489453.9981,-1198.1074750000262,1.2450170324374367e-05
22,-20,alexnet,index=14.5.54E+05,554196.3218,-47116.259300000034,0.019254194019924255
22,-20,alexnet,index=15.6.24E+05,624442.5514,-34462.14515,0.010300738259266607
22,-20,alexnet,index=16.6.98E+05,698421.296,-16754.483499999973,0.0024347020735379725
22,-20,alexnet,index=17.7.77E+05,776647.2223,-81766.44105000002,0.057987438863072005
22,-20,alexnet,index=18.8.59E+05,859343.9142,-96557.25795,0.08086369562492687
22,-20,alexnet,index=2.2.36E+03,2355.33535,34922.373634375,0.010577700020568053
22,-20,alexnet,index=3.2.10E+04,20979.71604,63410.53786625,0.03487438931106845
22,-20,alexnet,index=4.5.76E+04,57593.31665,-13756.342040625,0.0016413064216943957
22,-20,alexnet,index=5.1.11E+05,111264.7017,-72170.32279375,0.045175298705807256
22,-20,alexnet,index=6.1.44E+05,144324.2618,-48721.17586250001,0.020588241782292988
22,-20,alexnet,index=7.1.81E+05,181378.003,-148301.551828125,0.19075464775109097
22,-20,alexnet,index=8.2.22E+05,221505.1102,-177882.4461375,0.2744415878141232
22,-20,alexnet,index=9.2.67E+05,266907.6965,-110400.87618750002,0.10571309247850845
22,-20,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,125272.956703203,0.17479804128377577
22,-20,ensemble__simple_equal,index=10.3.15E+05,315466.1173,-48610.03136249998,0.026319262083738682
22,-20,ensemble__simple_equal,index=11.3.69E+05,368978.105,-35887.459166666726,0.014345223827859868
22,-20,ensemble__simple_equal,index=12.4.27E+05,427276.195,-22179.03354166675,0.005479073691981602
22,-20,ensemble__simple_equal,index=13.4.89E+05,489453.9981,19162.293566666543,0.004089939509007941
22,-20,ensemble__simple_equal,index=14.5.54E+05,554196.3218,-16893.061383333523,0.003178620108340669
22,-20,ensemble__simple_equal,index=15.6.24E+05,624442.5514,-21335.863899999997,0.00507040174030989
22,-20,ensemble__simple_equal,index=16.6.98E+05,698421.296,-3025.7230833334615,0.00010197184172875293
22,-20,ensemble__simple_equal,index=17.7.77E+05,776647.2223,-50380.045216666884,0.028270859489264447
22,-20,ensemble__simple_equal,index=18.8.59E+05,859343.9142,-99755.00795,0.11083867395087928
22,-20,ensemble__simple_equal,index=2.2.36E+03,2355.33535,95815.23854322916,0.10225653596785733
22,-20,ensemble__simple_equal,index=3.2.10E+04,20979.71604,72977.01442875,0.05931903673583787
22,-20,ensemble__simple_equal,index=4.5.76E+04,57593.31665,13855.803629947906,0.0021383822736676487
