frequency,model,source_wav_id,y_true,sse_reduction_0_to_minus20
maxfreq=3kHz,rf,index=13.4.89E+05,489453.9981,-17331.57078742981
maxfreq=3kHz,rf,index=14.5.54E+05,554196.3218,-106743634.74206227
maxfreq=3kHz,rf,index=15.6.24E+05,624442.5514,-115186724.54827341
maxfreq=3kHz,rf,index=16.6.98E+05,698421.296,14321268.876437485
maxfreq=3kHz,rf,index=17.7.77E+05,776647.2223,100449944.17926407
maxfreq=3kHz,rf,index=18.8.59E+05,859343.9142,237188590.2172165
maxfreq=3kHz,rf,index=2.2.36E+03,2355.33535,-7587376824.45949
maxfreq=3kHz,rf,index=3.2.10E+04,20979.71604,-2853489869.2608547
maxfreq=3kHz,rf,index=4.5.76E+04,57593.31665,-48736130.799914956
maxfreq=3kHz,rf,index=5.1.11E+05,111264.7017,-495748548.6996251
maxfreq=3kHz,rf,index=6.1.44E+05,144324.2618,1715650894.821115
maxfreq=3kHz,rf,index=7.1.81E+05,181378.003,4531164633.949226
maxfreq=3kHz,rf,index=8.2.22E+05,221505.1102,-7243586336.16313
maxfreq=3kHz,rf,index=9.2.67E+05,266907.6965,-587559227.4832028
maxfreq=3kHz,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,16739792196.107773
maxfreq=3kHz,cnntf_v2_gap,index=10.3.15E+05,315466.1173,-869633675.8515749
maxfreq=3kHz,cnntf_v2_gap,index=11.3.69E+05,368978.105,7469556.8037493825
maxfreq=3kHz,cnntf_v2_gap,index=12.4.27E+05,427276.195,-1395105437.779443
maxfreq=3kHz,cnntf_v2_gap,index=13.4.89E+05,489453.9981,198461311.0837131
maxfreq=3kHz,cnntf_v2_gap,index=14.5.54E+05,554196.3218,1004429044.0147125
maxfreq=3kHz,cnntf_v2_gap,index=15.6.24E+05,624442.5514,-1218344930.072186
maxfreq=3kHz,cnntf_v2_gap,index=16.6.98E+05,698421.296,-504859809.1989382
maxfreq=3kHz,cnntf_v2_gap,index=17.7.77E+05,776647.2223,523823883.47908616
maxfreq=3kHz,cnntf_v2_gap,index=18.8.59E+05,859343.9142,1586206017.3569016
maxfreq=3kHz,cnntf_v2_gap,index=2.2.36E+03,2355.33535,-6348584270.762267
maxfreq=3kHz,cnntf_v2_gap,index=3.2.10E+04,20979.71604,-4731492040.937911
maxfreq=3kHz,cnntf_v2_gap,index=4.5.76E+04,57593.31665,-100956444.46101642
maxfreq=3kHz,cnntf_v2_gap,index=5.1.11E+05,111264.7017,-32243824.514989775
