snr,model_key,model,r2_mean_mean,r2_mean_std,r2_mean_min,r2_mean_max,rmse_all_mean_mean,rmse_all_mean_std,rmse_all_mean_min,rmse_all_mean_max,mae_all_mean_mean,mae_all_mean_std,mae_all_mean_min,mae_all_mean_max,rmse_onb_mean_mean,rmse_onb_mean_std,rmse_onb_mean_min,rmse_onb_mean_max,roc_auc_cont_mean_mean,roc_auc_cont_mean_std,roc_auc_cont_mean_min,roc_auc_cont_mean_max,recall_mean_mean,recall_mean_std,recall_mean_min,recall_mean_max,f1_mean_mean,f1_mean_std,f1_mean_min,f1_mean_max
-4,randomforest,RandomForest,0.8767603333333334,0.0005448599208360024,0.876234,0.877322,95595.802821,211.45599462625103,95377.776993,95800.011278,79961.70038166667,133.4297219100402,79855.638757,80111.512853,148985.74013533336,642.1746467501921,148252.825294,149449.743204,0.9337796666666667,0.0009510443382584055,0.932957,0.934821,0.833333,0.0,0.833333,0.833333,0.907441,0.0,0.907441,0.907441
-4,conformer,Conformer,0.8433100000000001,0.035990926648254,0.801926,0.867299,107341.06610499999,12057.83824061267,99197.655213,121193.114455,82905.13261733334,10784.639240206707,73240.193436,94538.348969,119533.29615833332,54432.54286309856,68859.620871,177073.172435,0.9379883333333333,0.013200638406279178,0.925764,0.951986,0.7983336666666667,0.01258305739211797,0.786667,0.811667,0.8872743333333334,0.0069118652571744,0.880597,0.894399
-4,alexnet,AlexNet,0.8157743333333333,0.03711937420449508,0.792129,0.858557,116455.84882833333,12180.225640281278,102413.060922,124153.983139,92669.26322566667,12516.194003173054,80020.412874,105048.442807,142115.18792266666,56562.479913592986,77050.386923,179571.295068,0.928919,0.020106693686431924,0.906524,0.94542,0.775,0.02166700000000002,0.753333,0.796667,0.87258,0.012947084652538608,0.859316,0.885185
-4,ensemble__simple_equal,Equal ensemble,0.8760746666666667,0.025613241913770585,0.846522,0.89186,95536.493158,9660.563615935025,89548.432189,106681.218935,79097.80049733333,8030.81662741634,74222.929825,88366.834669,133579.95223133333,26409.736700800397,109875.327445,162046.784341,0.9424386666666668,0.013570246951818243,0.927309,0.953535,0.802778,0.014561351688631085,0.786667,0.815,0.890278,0.008650207569763904,0.880597,0.897248
-4,ensemble__inner_holdout,Inner-holdout ensemble,0.8741789999999999,0.021321896092983895,0.849606,0.887788,96369.99185499999,8014.629299067655,91218.628166,105603.892073,79561.30249966666,6718.55057910104,74429.614313,87165.822426,134257.28887833332,25505.308818222013,111564.43466,161860.916038,0.9432463333333333,0.012660016363865169,0.929378,0.954184,0.8011113333333334,0.010046208057438107,0.791667,0.811667,0.889277,0.005759809719079287,0.883721,0.895221
-8,randomforest,RandomForest,0.876366,0.00047639899244226303,0.876082,0.876916,95748.61852333334,184.63490028947098,95535.456768,95858.604684,79944.822733,136.97417936690886,79793.009072,80059.15332,149684.1740133333,228.8683718676709,149482.542808,149932.940197,0.9381559999999999,0.009264497611851443,0.928012,0.94617,0.833333,0.0,0.833333,0.833333,0.907441,0.0,0.907441,0.907441
-8,conformer,Conformer,0.855805,0.018017268744179846,0.837472,0.873489,103269.63341433334,6462.9961823850535,96856.247559,109781.123016,82028.36648133333,5456.922047056062,76346.396769,87228.252219,106409.989479,21700.96780893605,89216.609041,130793.470242,0.9535263333333334,0.009142810362975566,0.943597,0.961597,0.8144443333333333,0.018584272526341556,0.793333,0.828333,0.8968323333333333,0.010576797924387739,0.884758,0.904459
-8,alexnet,AlexNet,0.7815063333333333,0.027841848094789446,0.758075,0.812285,127109.68868466669,8223.335370380366,117981.306425,133938.327342,104324.60203666666,10062.970174465576,94966.736388,114968.94613,120614.33416733332,58900.45176215765,79650.025994,188114.647615,0.9226896666666667,0.004420813311296174,0.917722,0.926191,0.8011113333333334,0.01228500290326918,0.791667,0.815,0.8749236666666667,0.010374572778352503,0.863195,0.8829
-8,ensemble__simple_equal,Equal ensemble,0.861317,0.006453057957278834,0.854425,0.867216,101390.702906,2353.8176666437967,99228.835096,103898.242323,85706.57826466666,1845.9817723008953,84218.905401,87772.447522,120794.936735,27606.576999018125,103644.670694,152640.746038,0.943581,0.0061968182158265855,0.937545,0.949927,0.8177776666666666,0.008221629116746475,0.808333,0.823333,0.8991906666666667,0.0045153908284148656,0.894009,0.902283
-8,ensemble__inner_holdout,Inner-holdout ensemble,0.8622946666666667,0.0065233148270900845,0.855862,0.868905,101031.85579433333,2395.468241009184,98595.375296,103384.089068,83859.243462,1466.0268128803757,82192.015064,84946.819701,117495.09194933333,30390.917294385898,99628.780415,152585.541883,0.9462513333333332,0.00918211807446044,0.937615,0.955896,0.8161109999999999,0.005357514629004663,0.81,0.82,0.8981896666666667,0.0027839925167523673,0.895028,0.900274
