seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.929606787786083e+30,99628.78041519228,89804.65185052203,-87356.30120686581,57,0
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.83940423710244,71491.9401880869,56313.00034316211,-54976.71033539286,52,0
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8621165174841579,101116.10301898028,84438.89562131173,-15140.761644348499,109,1
42,-12,randomforest,RandomForest,below,480,-0.04410982454160739,82685.53101599144,74656.78813671917,11539.970102187917,0,2
42,-12,randomforest,RandomForest,near,60,-7.021661687462896e+30,154241.0943134715,148586.2922852084,-141327.36714687498,54,0
42,-12,randomforest,RandomForest,above,540,0.6886406504012197,99545.35452144369,78442.30357979168,-76698.68220960649,45,0
42,-12,randomforest,RandomForest,all,1080,0.8743820101636508,96513.95695021645,80656.74053317148,-41071.985900879445,99,2
42,-12,conformer,Conformer,below,480,-4.952433952755496,197425.71581120766,162002.63924398477,158147.19944789106,0,229
42,-12,conformer,Conformer,near,60,-9.049158327676426e+29,55371.238918639196,46636.05653749999,36356.50954583332,10,0
42,-12,conformer,Conformer,above,540,0.94029716743276,43590.06435321162,33939.26525592593,-24651.446807407414,6,0
42,-12,conformer,Conformer,all,1080,0.7512782355257025,135806.66887584905,91561.69765515065,59981.72688123862,16,229
42,-12,alexnet,AlexNet,below,480,-1.87486021949295,137203.375285257,122301.14404697773,47504.5391157835,0,1
42,-12,alexnet,AlexNet,near,60,-2.288720743814863e+30,88059.56795432414,76422.95510666665,-73380.22639166666,57,0
42,-12,alexnet,AlexNet,above,540,0.8543463278615455,68084.89328382783,53370.42295611111,-51390.70328888889,50,0
42,-12,alexnet,AlexNet,all,1080,0.8501051581238697,105428.38308193198,85286.9952270827,-8658.902392522152,107,1
42,-12,ensemble__simple_equal,Equal ensemble,below,480,-1.5145079131805685,128316.6261288297,105594.99109512132,72397.23622195414,0,1
42,-12,ensemble__simple_equal,Equal ensemble,near,60,-1.5651788185227498e+30,72821.92053587514,67711.65244145835,-59450.361330902815,54,0
42,-12,ensemble__simple_equal,Equal ensemble,above,540,0.8624327188567142,66167.94075497909,52430.668850301,-50913.610768634346,45,0
