seed,snr,model_key,model,r2_mean_matched,rmse_all_mean_matched,mae_all_mean_matched,r2_high_mean_matched,rmse_high_mean_matched,mae_high_mean_matched,rmse_onb_mean_matched,mae_onb_mean_matched,roc_auc_cont_mean_matched,pr_auc_cont_mean_matched,accuracy_mean_matched,precision_mean_matched,recall_mean_matched,f1_mean_matched,r2_mean_clean_only,rmse_all_mean_clean_only,mae_all_mean_clean_only,r2_high_mean_clean_only,rmse_high_mean_clean_only,mae_high_mean_clean_only,rmse_onb_mean_clean_only,mae_onb_mean_clean_only,roc_auc_cont_mean_clean_only,pr_auc_cont_mean_clean_only,accuracy_mean_clean_only,precision_mean_clean_only,recall_mean_clean_only,f1_mean_clean_only,delta_rmse_all_mean_matched_minus_clean_only,delta_rmse_onb_mean_matched_minus_clean_only,delta_r2_mean_matched_minus_clean_only,delta_recall_mean_matched_minus_clean_only,delta_f1_mean_matched_minus_clean_only,relative_rmse_matched_vs_clean_only
42,-20,conformer,Conformer,0.892614,89235.496645,70054.90448,0.838632,77330.330365,57637.846825,109465.862801,101978.538116,0.935295,0.963249,0.892593,0.997942,0.808333,0.893186,-0.174966,295173.135168,249939.395368,0.483953,138288.261033,124743.370191,231015.014676,230173.086108,0.884253,0.931995,0.555556,0.555556,1.0,0.714286,-205937.638523,-121549.151875,1.06758,-0.19166700000000003,0.17890000000000006,-0.6976842198250497
42,-20,alexnet,AlexNet,0.879655,94466.407329,79842.247062,0.716747,102453.757794,84084.014957,145072.187392,138968.282514,0.93624,0.963694,0.893519,1.0,0.808333,0.894009,0.53784,185122.926489,163376.577405,0.537445,130924.892116,117096.353846,46608.588105,44850.284025,0.825024,0.894992,0.555556,0.555556,1.0,0.714286,-90656.51916000001,98463.59928699999,0.341815,-0.19166700000000003,0.17972300000000008,-0.4897098424240113
42,-20,ensemble__simple_equal,Equal ensemble,0.888965,90739.164911,75282.710605,0.762562,93802.784092,74200.685144,136356.51784,130491.350292,0.939253,0.965345,0.899074,0.997972,0.82,0.900274,0.544356,183813.357989,137392.466228,0.913662,56564.071227,43757.563919,86799.097653,82233.534025,0.911378,0.947904,0.555556,0.555556,1.0,0.714286,-93074.19307800001,49557.42018699998,0.34460900000000005,-0.18000000000000005,0.18598800000000004,-0.506351628065953
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.887551,91314.890881,75982.732064,0.753992,95480.630491,75962.096451,138854.782307,132942.060487,0.939653,0.965441,0.9,0.997976,0.821667,0.90128,0.319965,224558.715844,171425.139763,0.873484,68472.039517,54730.004566,144257.955039,142923.7642,0.901417,0.941265,0.555556,0.555556,1.0,0.714286,-133243.824963,-5403.172732000006,0.5675859999999999,-0.17833299999999996,0.186994,-0.5933585096539469
43,clean,randomforest,RandomForest,0.876519,95689.602517,80064.196059,0.698052,105780.794635,85451.494298,151402.42828,145810.629198,0.93392,0.941704,0.90463,0.996008,0.831667,0.906449,0.876519,95689.602517,80064.196059,0.698052,105780.794635,85451.494298,151402.42828,145810.629198,0.93392,0.941704,0.90463,0.996008,0.831667,0.906449,0.0,0.0,0.0,0.0,0.0,0.0
43,clean,conformer,Conformer,0.884958,92361.989837,73366.690026,0.896031,62071.507688,51544.560717,77958.418105,70066.259465,0.949247,0.969413,0.884259,1.0,0.791667,0.883721,0.884958,92361.989837,73366.690026,0.896031,62071.507688,51544.560717,77958.418105,70066.259465,0.949247,0.969413,0.884259,1.0,0.791667,0.883721,0.0,0.0,0.0,0.0,0.0,0.0
43,clean,alexnet,AlexNet,0.891473,89708.321535,77027.481667,0.814455,82921.057722,71182.406996,109836.758603,100941.142407,0.954535,0.973289,0.887037,1.0,0.796667,0.886827,0.891473,89708.321535,77027.481667,0.814455,82921.057722,71182.406996,109836.758603,100941.142407,0.954535,0.973289,0.887037,1.0,0.796667,0.886827,0.0,0.0,0.0,0.0,0.0,0.0
43,clean,ensemble__simple_equal,Equal ensemble,0.913814,79943.602177,64118.704703,0.87993,66704.843665,51744.677389,109185.97431,103175.728779,0.959743,0.976319,0.891667,1.0,0.805,0.891967,0.913814,79943.602177,64118.704703,0.87993,66704.843665,51744.677389,109185.97431,103175.728779,0.959743,0.976319,0.891667,1.0,0.805,0.891967,0.0,0.0,0.0,0.0,0.0,0.0
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.904257,84259.427551,69225.605287,0.878818,67013.196576,55564.445462,98621.492136,92403.388259,0.957906,0.975351,0.888889,1.0,0.8,0.888889,0.904257,84259.427551,69225.605287,0.878818,67013.196576,55564.445462,98621.492136,92403.388259,0.957906,0.975351,0.888889,1.0,0.8,0.888889,0.0,0.0,0.0,0.0,0.0,0.0
43,0,randomforest,RandomForest,0.877523,95299.795284,79859.903919,0.701834,105116.148546,84993.934435,147571.405418,140746.995801,0.940516,0.947619,0.905556,0.996016,0.833333,0.907441,0.876336,95760.4898,80073.004035,0.697405,105894.112846,85458.477794,151832.747193,145668.702311,0.933097,0.940979,0.905556,0.996016,0.833333,0.907441,-460.69451599998865,-4261.341774999979,0.0011870000000000491,0.0,0.0,-0.004810903922506715
43,0,conformer,Conformer,0.854289,103946.729469,83196.171572,0.780644,90160.270774,63466.014733,151240.994698,141069.772682,0.947733,0.968324,0.883333,1.0,0.79,0.882682,0.756701,134318.026516,102017.982448,0.910368,57633.01222,47981.765241,19184.612675,15547.448698,0.905024,0.940552,0.768519,0.744413,0.888333,0.81003,-30371.297047000015,132056.38202299998,0.09758800000000001,-0.098333,0.07265199999999994,-0.22611482490313517
43,0,alexnet,AlexNet,0.812114,118035.163129,92986.768798,0.836918,77739.82013,57235.791659,125497.337159,101186.860281,0.916587,0.951699,0.888889,0.98583,0.811667,0.890311,0.768401,131048.552666,101354.186548,0.88261,65956.308806,55564.969966,19487.991639,16074.265465,0.923396,0.954163,0.851852,0.885965,0.841667,0.863248,-13013.38953700001,106009.34552,0.043713,-0.030000000000000027,0.027062999999999948,-0.09930204700670664
43,0,ensemble__simple_equal,Equal ensemble,0.874345,96528.170815,78965.001805,0.819121,81871.98149,57919.60234,135185.499767,124759.185433,0.935979,0.962883,0.891667,0.997938,0.806667,0.892166,0.859208,102177.015701,76352.77531,0.922721,53514.383253,44492.864006,54953.867012,52289.890396,0.946681,0.967857,0.905556,0.998,0.831667,0.907273,-5648.844885999992,80231.632755,0.015137000000000067,-0.025000000000000022,-0.015106999999999982,-0.05528488816438104
43,0,ensemble__inner_holdout,Inner-holdout ensemble,0.850959,105127.600067,84805.531821,0.834741,78256.984923,55746.280151,129770.222515,114548.25072,0.927767,0.958269,0.890741,0.997934,0.805,0.891144,0.80821,119255.006136,89841.885229,0.920331,54335.787036,46412.354767,26561.086534,24271.876069,0.941431,0.964322,0.902778,0.997988,0.826667,0.904284,-14127.40606899999,103209.135981,0.04274900000000004,-0.021666999999999992,-0.01313999999999993,-0.11846384086290607
43,-4,randomforest,RandomForest,0.876234,95800.011278,80111.512853,0.69857,105690.007476,85238.546557,148252.825294,140952.209473,0.934821,0.946989,0.905556,0.996016,0.833333,0.907441,0.876361,95750.566505,80060.242171,0.697497,105877.959832,85435.50644,151796.003703,145622.750228,0.933097,0.940979,0.905556,0.996016,0.833333,0.907441,49.44477300001017,-3543.1784089999855,-0.00012699999999998823,0.0,0.0,0.0005163914408530257
