seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
44,0,alexnet,AlexNet,0.757001,134235.329529,101898.838873,0.595554,122425.296406,82123.300516,229534.797989,211635.39976,0.916097,0.952336,0.877778,1.0,0.78,0.876404
44,0,ensemble__simple_equal,Equal ensemble,0.872625,97186.73699,78586.865542,0.791633,87873.006761,60883.257728,152432.628268,142524.212656,0.927677,0.958367,0.893519,1.0,0.808333,0.894009
44,0,ensemble__inner_holdout,Inner-holdout ensemble,0.880422,94165.259599,76533.601221,0.814742,82856.907123,58243.009411,139936.187326,130832.820741,0.928444,0.958812,0.89537,1.0,0.811667,0.896044
44,-4,randomforest,RandomForest,0.876725,95609.620192,79917.949535,0.70018,105407.340091,84855.904357,149254.651908,141808.810254,0.933561,0.943267,0.905556,0.996016,0.833333,0.907441
44,-4,conformer,Conformer,0.801926,121193.114455,94538.348969,0.733948,99294.250674,69091.84379,177073.172435,168690.39021,0.936215,0.960865,0.881481,1.0,0.786667,0.880597
44,-4,alexnet,AlexNet,0.792129,124153.983139,105048.442807,0.672557,110156.113395,84695.358886,169723.881777,157727.929366,0.906524,0.945572,0.862963,1.0,0.753333,0.859316
44,-4,ensemble__simple_equal,Equal ensemble,0.846522,106681.218935,88366.834669,0.740467,98070.145031,71572.067453,162046.784341,153713.564087,0.927309,0.957305,0.881481,1.0,0.786667,0.880597
44,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.849606,105603.892073,87165.822426,0.744768,97254.263878,70541.990179,161860.916038,153574.103427,0.929378,0.958406,0.884259,1.0,0.791667,0.883721
44,-8,randomforest,RandomForest,0.8761,95851.794118,79982.305807,0.697987,105792.242182,84988.258277,149482.542808,142194.824577,0.94617,0.959525,0.905556,0.996016,0.833333,0.907441
44,-8,conformer,Conformer,0.837472,109781.123016,87228.252219,0.830077,79353.732342,55989.472139,130793.470242,120423.107122,0.943597,0.964702,0.885185,1.0,0.793333,0.884758
