seed,snr,ensemble_key,ensemble,best_single_key,best_single,delta_r2_vs_rf,delta_rmse_vs_rf,relative_rmse_vs_rf,delta_rmse_vs_best_single,relative_rmse_vs_best_single,within_2pct_of_best_single,beats_rf,beats_best_single,delta_onb_rmse_vs_rf,delta_rmse_vs_evaluation_oracle,delta_below_rmse_vs_rf,delta_below_false_alarms_vs_rf,delta_below_misses_vs_rf,delta_near_rmse_vs_rf,delta_near_false_alarms_vs_rf,delta_near_misses_vs_rf,delta_above_rmse_vs_rf,delta_above_false_alarms_vs_rf,delta_above_misses_vs_rf
43,-12,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.005558000000000063,2103.551965000006,0.02170955121867779,2103.551965000006,0.02170955121867779,False,False,False,-38070.03650899998,6286.875635099932,27282.39443944987,-1,0,-38070.03650860877,0,1,-14450.245617545457,0,9
43,-12,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,-0.004167000000000032,1581.2951710000052,0.016319638914493062,1581.2951710000052,0.016319638914493062,True,False,False,-40817.28475199999,5764.618841099931,31436.16910919854,-1,0,-40817.284752339314,0,1,-20244.916802896347,0,10
43,-16,ensemble__simple_equal,Equal ensemble,alexnet,AlexNet,0.029398999999999953,-11938.227816999992,-0.12272945076219066,1839.276098000002,0.02202852004339806,False,True,False,-34542.843175999995,2538.0484446827904,10342.05285285,-1,0,-34542.8431758285,0,3,-28047.697559616092,0,9
43,-16,ensemble__inner_holdout,Inner-holdout ensemble,alexnet,AlexNet,0.029625000000000012,-12036.358066,-0.1237382664547324,1741.1458489999932,0.02085324018230983,False,True,False,-27223.395925000004,2439.9181956827815,7272.056161666536,-1,0,-27223.39592422692,0,2,-26326.19791911442,0,10
43,-20,ensemble__simple_equal,Equal ensemble,conformer,Conformer,0.011755999999999989,-4593.740703000003,-0.047267546087694345,2144.2358939999976,0.023706846579403695,False,True,False,-24608.292256000015,3547.2984510263777,7558.4529595290805,-1,0,-24608.29225628666,0,1,-11020.09417313787,0,11
43,-20,ensemble__inner_holdout,Inner-holdout ensemble,conformer,Conformer,0.009579999999999922,-3726.2149780000036,-0.03834109271562691,3011.761618999997,0.03329828160938786,False,True,False,-21767.38669100002,4414.824176026377,6338.072798680136,-1,0,-21767.386690880026,0,1,-8649.650209442902,0,11
44,clean,ensemble__simple_equal,Equal ensemble,alexnet,AlexNet,0.04684599999999994,-20250.31538,-0.21116879609291117,-8491.273319,-0.10092162675162986,True,True,True,-42610.35765600001,2759.6751587163744,635.2808108618046,-2,0,-42610.35765629407,0,5,-35360.9304394442,0,14
44,clean,ensemble__inner_holdout,Inner-holdout ensemble,alexnet,AlexNet,0.04329799999999995,-18530.79875500001,-0.19323780347629183,-6771.756694000011,-0.08048459587274293,True,True,True,-50899.346458,4479.191783716364,1546.7646598240535,-2,0,-50899.34645827126,0,5,-30953.516939111534,0,17
44,0,ensemble__simple_equal,Equal ensemble,randomforest,RandomForest,-0.005448000000000008,2101.34029800001,0.022099506034629623,2101.34029800001,0.022099506034629623,False,False,False,5331.314225999988,8376.513866590569,26363.08380323439,-2,0,5331.314226324117,0,4,-21534.926510095203,0,11
44,0,ensemble__inner_holdout,Inner-holdout ensemble,randomforest,RandomForest,0.0023490000000000455,-920.1370929999975,-0.00967695487436937,-920.1370929999975,-0.00967695487436937,True,True,True,-7165.126715999999,5355.036475590561,25288.219649495528,-2,0,-7165.126715503517,0,3,-25141.360689962254,0,10
