snr,model,sample_id,val_local_index,source_wav_id,chunk_index,region,ensemble_case,y_true_w_m2,base_prediction_w_m2,base_residual_w_m2,band,low_hz,high_hz,masked_prediction_w_m2,prediction_change_masked_minus_base_w_m2,abs_error_change_masked_minus_base_w_m2,mask_improves_error
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_256_512Hz,256.0,512.0,111885.296875,-38747.25,38747.25,False
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_512_1000Hz,512.0,1000.0,270254.34375,119621.796875,-119621.796875,True
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_1000_2000Hz,1000.0,2000.0,334216.59375,183584.046875,-183584.046875,True
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_2000_5000Hz,2000.0,5000.0,452483.125,301850.578125,-149524.568325,True
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_5000_10000Hz,5000.0,10000.0,541588.9375,390956.390625,-60418.755825,True
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_10000_15000Hz,10000.0,15000.0,333232.8125,182600.265625,-182600.265625,True
no_noise,conformer,false_negative_val0573,573,index=11.376320,33,above_onb,failure_vs_best_single,376320.1201,150632.546875,-225687.573225,freq_15000_22000Hz,15000.0,22000.0,16570.8515625,-134061.6953125,134061.6953125,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_0_256Hz,0.0,256.0,225797.9375,70.046875,70.046875,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_256_512Hz,256.0,512.0,168663.953125,-57063.9375,-57063.9375,True
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_512_1000Hz,512.0,1000.0,260980.625,35252.734375,35252.734375,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_1000_2000Hz,1000.0,2000.0,320100.78125,94372.890625,94372.89062499997,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_2000_5000Hz,2000.0,5000.0,386746.875,161018.984375,161018.98437499997,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_5000_10000Hz,5000.0,10000.0,448364.25,222636.359375,222636.35937499997,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_10000_15000Hz,10000.0,15000.0,333387.96875,107660.078125,107660.07812499997,False
no_noise,conformer,worst_prediction_val0057,57,index=1.0,57,below_onb,failure_vs_best_single,-1.42e-06,225727.890625,225727.89062642,freq_15000_22000Hz,15000.0,22000.0,86498.53125,-139229.359375,-139229.359375,True
