run,experiment,maxfreq,snr,created_at,epochs_requested,folds,n_wavs,n_chunks,original_threshold,evaluated_threshold,run_manifest,wav_evaluation_present
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=10kHz,-16,2026-09-04T01:40:31,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=15kHz,-16,2026-09-04T03:30:21,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,-16,2026-09-04T05:21:59,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=3kHz,-16,2026-09-03T22:05:32,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=5kHz,-16,2026-09-03T23:51:47,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-16/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=10kHz,-20,2026-09-04T01:56:10,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=15kHz,-20,2026-09-04T03:45:58,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,-20,2026-09-04T05:37:37,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=3kHz,-20,2026-09-03T22:20:35,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.18_0.3_3,maxfreq=5kHz,-20,2026-09-04T00:06:59,200,3,18,1080,271677.6816,376320.1201,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
