run,experiment,maxfreq,snr,fold,model,source_csv,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/top_layer_randomization_sanity.csv,worst_prediction_val0074,integrated_gradients,output,197300.140625,1004228.375,0.6119300966238695,0.6570293041689694,0.8706102575172314
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/top_layer_randomization_sanity.csv,low_heatflux_val0060,integrated_gradients,output,160373.90625,1001512.6875,0.597776221534772,0.643735775802956,0.8716369669339821
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/top_layer_randomization_sanity.csv,near_onb_below_val0060,integrated_gradients,output,194307.09375,431536.78125,0.578144504872415,0.6215080102727346,0.7509136558455843
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/top_layer_randomization_sanity.csv,near_onb_above_val0120,integrated_gradients,output,403206.8125,413706.8125,0.6375905252776893,0.6413997145734259,0.7278291122115609
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/top_layer_randomization_sanity.csv,false_negative_val0159,integrated_gradients,output,375925.03125,422848.78125,0.6541267210929653,0.6559263510446769,0.7422109489714418
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/top_layer_randomization_sanity.csv,worst_prediction_val0336,integrated_gradients,output,708477.1875,418949.34375,0.6488348276994029,0.6546388530074091,0.7518845136861769
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/top_layer_randomization_sanity.csv,low_heatflux_val0180,integrated_gradients,output,31869.419921875,441135.5625,0.6193940006090416,0.6414137517275109,0.7477307278061742
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_below_val0060,integrated_gradients,output,201868.375,789181.125,0.5142991411276651,0.6341995949636106,0.8342022828438207
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/top_layer_randomization_sanity.csv,near_onb_above_val0120,integrated_gradients,output,416845.40625,703695.4375,0.7035001850184528,0.7063761036177175,0.8269939435655768
20260908_selected_log_architecture,2025.06.18_0.3_3,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.18_0.3_3/regression_result/npy/ensemble/202609/08_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/top_layer_randomization_sanity.csv,worst_prediction_val0335,integrated_gradients,output,774241.75,663040.25,0.5585020980962955,0.5661508264276899,0.8823366694943819
