snr,model,source_wav_id,y_true,prediction,error,fraction_total_squared_error
0,ensemble__inner_holdout,index=11.3.69E+05,368978.105,367342.2147642516,-1635.8902357483748,3.458314353836061e-05
0,ensemble__inner_holdout,index=12.4.27E+05,427276.195,404961.8219844719,-22314.37301552808,0.0064346588124606
0,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,497451.3586881361,7997.360588136071,0.0008265126462944545
0,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,552724.556517082,-1471.7652829180006,2.799195654772212e-05
0,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,607400.7798363108,-17041.771563689224,0.0037530610224645353
0,ensemble__inner_holdout,index=16.6.98E+05,698421.296,696881.6294418222,-1539.6665581777925,3.063440860026347e-05
0,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,755689.8933635958,-20957.3289364042,0.00567581206252889
0,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,766944.0537544854,-92399.86044551455,0.11033131067591863
-4,rf,index=1.3.28E-04,0.0003280469999999,158098.25,158098.249671953,0.2298342484300451
-4,rf,index=2.2.36E+03,2355.33535,108615.13671875,106259.80136875,0.10382420655045804
-4,rf,index=3.2.10E+04,20979.71604,87171.84765625,66192.13161625,0.04028778172936951
-4,rf,index=4.5.76E+04,57593.31665,69667.34765625,12074.03100625,0.0013404949891358774
-4,rf,index=5.1.11E+05,111264.7017,104468.28515625,-6796.416543750005,0.00042473749177332113
-4,rf,index=6.1.44E+05,144324.2618,89949.86328125,-54374.39851875001,0.02718626545048012
-4,rf,index=7.1.81E+05,181378.003,55901.44140625,-125476.56159375,0.14477242195410636
-4,rf,index=8.2.22E+05,221505.1102,67719.73046875,-153785.37973125,0.21746567640189282
-4,rf,index=9.2.67E+05,266907.6965,297683.890625,30776.19412499998,0.008709444312743826
-4,rf,index=10.3.15E+05,315466.1173,278592.171875,-36873.94542499998,0.012502585651868738
-4,rf,index=11.3.69E+05,368978.105,360288.453125,-8689.651874999981,0.0006943291162177375
-4,rf,index=12.4.27E+05,427276.195,394848.359375,-32427.835625000007,0.00966933367069511
-4,rf,index=13.4.89E+05,489453.9981,562472.84375,73018.84564999997,0.049026461290853474
-4,rf,index=14.5.54E+05,554196.3218,576960.34375,22764.021949999966,0.004764952906361075
-4,rf,index=15.6.24E+05,624442.5514,618450.125,-5992.426399999997,0.000330191613625003
-4,rf,index=16.6.98E+05,698421.296,679538.125,-18883.170999999973,0.003278766380346991
-4,rf,index=17.7.77E+05,776647.2223,723326.8125,-53320.40980000002,0.02614252779647341
-4,rf,index=18.8.59E+05,859343.9142,745227.15625,-114116.75795,0.11974557426355342
-4,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,232456.1171875,232456.116859453,0.5960104515912704
-4,cnntf_v2_gap,index=2.2.36E+03,2355.33535,93663.01953125,91307.68418125,0.09195737683186683
-4,cnntf_v2_gap,index=3.2.10E+04,20979.71604,41491.681640625,20511.965600625,0.004640731875062376
-4,cnntf_v2_gap,index=4.5.76E+04,57593.31665,97959.640625,40366.323975,0.017972575682082135
-4,cnntf_v2_gap,index=5.1.11E+05,111264.7017,119446.53515625,8181.833456249995,0.000738368546821839
-4,cnntf_v2_gap,index=6.1.44E+05,144324.2618,82265.2578125,-62059.00398750001,0.04247970776283953
-4,cnntf_v2_gap,index=7.1.81E+05,181378.003,88672.0859375,-92705.9170625,0.09479530470699518
-4,cnntf_v2_gap,index=8.2.22E+05,221505.1102,166875.5390625,-54629.571137499996,0.03291754973761372
-4,cnntf_v2_gap,index=9.2.67E+05,266907.6965,195532.578125,-71375.11837500002,0.05619084993114551
-4,cnntf_v2_gap,index=10.3.15E+05,315466.1173,283337.46875,-32128.648549999984,0.011385623905902682
-4,cnntf_v2_gap,index=11.3.69E+05,368978.105,371501.984375,2523.8793750000186,7.026015561927694e-05
-4,cnntf_v2_gap,index=12.4.27E+05,427276.195,419080.8125,-8195.382500000007,0.0007408160352047834
-4,cnntf_v2_gap,index=13.4.89E+05,489453.9981,516066.8125,26612.814399999974,0.007811843397322527
-4,cnntf_v2_gap,index=14.5.54E+05,554196.3218,550202.4375,-3993.8843000000343,0.00017593930706064564
-4,cnntf_v2_gap,index=15.6.24E+05,624442.5514,630090.90625,5648.354850000003,0.00035189724262175135
