frequency,experiment_name,role,source_wav_id,heat_flux,chunks,selected_chunks,log_mean,log_std,log_p95,raw_mean,selected_log_mean,selected_log_std,selected_log_p95,selected_raw_mean
maxfreq=22kHz,2025.06.11_0.3_2,train,index=5.1.11E+05,111264.7017,60,60,3.826076548300996,1.510781039962687,6.9064807295799255,1.9771171020459922e-10,3.826076548300996,1.510781039962687,6.9064807295799255,1.9771171020459922e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=6.1.44E+05,144324.2618,60,60,3.811424038331112,1.4905700751508242,6.84965318441391,1.8719998506852408e-10,3.811424038331112,1.4905700751508242,6.84965318441391,1.8719998506852408e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=7.1.81E+05,181378.003,60,60,3.7736370661171397,1.4764922832852991,6.757523715496063,1.7562333204312888e-10,3.7736370661171397,1.4764922832852991,6.757523715496063,1.7562333204312888e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=8.2.22E+05,221505.1102,60,60,3.6439497833749934,1.33541358155348,6.227664589881897,1.1937960310285424e-10,3.6439497833749934,1.33541358155348,6.227664589881897,1.1937960310285424e-10
maxfreq=22kHz,2025.06.11_0.3_2,train,index=9.2.67E+05,266907.6965,60,60,3.6393423641594955,1.6026956738869704,6.733782052993774,2.45091270986073e-09,3.6393423641594955,1.6026956738869704,6.733782052993774,2.45091270986073e-09
maxfreq=22kHz,2025.07.09_0.3_1,train,index=1.0,6.98060403920294e-05,60,60,2.831557720399202,1.9859460363169554,7.321798086166382,2.614962545430137e-10,2.831557720399202,1.9859460363169554,7.321798086166382,2.614962545430137e-10
maxfreq=22kHz,2025.07.09_0.3_1,train,index=10.383287,383287.35455980786,60,60,2.854080960063217,1.9825120090947999,7.307355523109436,2.6101030508951426e-10,2.854080960063217,1.9825120090947999,7.307355523109436,2.6101030508951426e-10
maxfreq=22kHz,2025.07.09_0.3_1,train,index=11.442169,442169.29243200656,60,0,2.8951470560778976,1.973208714427931,7.327812135219574,2.6379248821052513e-10,,,,
maxfreq=22kHz,2025.07.09_0.3_1,train,index=12.505101,505101.26893061603,60,0,2.909523375006698,1.9720432612858763,7.328570008277893,2.647636004029206e-10,,,,
maxfreq=22kHz,2025.07.09_0.3_1,train,index=13.571694,571694.2524911674,60,16,2.92576015406028,1.982141147586701,7.353265106678009,2.672078911814919e-10,3.105815413666363,2.1977174490504883,7.687062203884125,7.848236518515031e-09
maxfreq=22kHz,2025.07.09_0.3_1,train,index=14.643516,643516.9402884921,60,13,2.9318948546733443,1.9732977924568629,7.322205364704132,2.6432884906625154e-10,4.445905914149166,2.5390040706073718,8.715917825698853,3.9901090501188465e-09
maxfreq=22kHz,2025.07.09_0.3_1,train,index=15.720690,720690.9057380507,60,60,7.057809044244509,2.8910513823091457,12.3577321767807,1.4049364728287627e-07,7.057809044244509,2.8910513823091457,12.3577321767807,1.4049364728287627e-07
maxfreq=22kHz,2025.07.09_0.3_1,train,index=16.802409,802409.6877461649,60,60,8.834703186063685,2.905267179959778,14.189889430999756,5.593909816614087e-07,8.834703186063685,2.905267179959778,14.189889430999756,5.593909816614087e-07
maxfreq=22kHz,2025.07.09_0.3_1,train,index=17.887789,887789.2369537686,60,60,10.076437887824255,2.9548973477360994,15.167150974273682,1.5409860764711193e-06,10.076437887824255,2.9548973477360994,15.167150974273682,1.5409860764711193e-06
maxfreq=22kHz,2025.07.09_0.3_1,train,index=2.2424,2424.7546537583808,60,60,3.1849675480284203,1.9604534116745709,7.332734704017639,2.742048926664868e-10,3.1849675480284203,1.9604534116745709,7.332734704017639,2.742048926664868e-10
maxfreq=22kHz,2025.07.09_0.3_1,train,index=4.59375,59375.420914051836,60,60,3.7604532157950517,1.980840807257255,8.03561556339264,5.261123219293557e-10,3.7604532157950517,1.980840807257255,8.03561556339264,5.261123219293557e-10
maxfreq=22kHz,2025.07.09_0.3_1,train,index=6.187171,187171.7169773235,60,60,3.791512464886533,1.9881885578543215,7.992841184139252,5.000394579305636e-10,3.791512464886533,1.9881885578543215,7.992841184139252,5.000394579305636e-10
maxfreq=22kHz,2025.07.09_0.3_1,train,index=8.275174,275174.6640882674,60,60,3.4906883999633216,1.9369915162950047,7.544752478599548,3.257118927816309e-10,3.4906883999633216,1.9369915162950047,7.544752478599548,3.257118927816309e-10
maxfreq=22kHz,2025.06.18_0.3_3,test,index=1.0,-1.42e-06,60,60,2.5165890471950068,1.3458132989909055,5.38272100687027,4.658570431383247e-11,2.5165890471950068,1.3458132989909055,5.38272100687027,4.658570431383247e-11
