snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-16,rf,frequency,freq_10000_15000Hz,10000.0,15000.0,6.832579729046673e-05,-0.0013114527768606,0.001641436035573,29.270279663680412
-16,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.0013351510054963,-0.0010269206487953,0.0029498199265817,713.5661082087487
-16,rf,frequency,freq_15000_22000Hz,15000.0,22000.0,0.00023591443627441334,4.3008567316538127e-05,0.0005884432789814,99.44986106548943
-16,rf,frequency,freq_2000_5000Hz,2000.0,5000.0,0.4214036732832391,0.2565764211893196,0.5836705384034506,112170.75482156564
-16,rf,frequency,freq_256_512Hz,256.0,512.0,0.0,0.0,0.0,0.0
-16,rf,frequency,freq_5000_10000Hz,5000.0,10000.0,0.0047447639196713,-0.0056720263140176,0.0136159365488073,2319.96794122474
-16,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.0035967860722504338,-0.0048164125694714,0.0106977108959253,1783.5128590353172
-16,rf,time,time_1,0.0,0.25,0.016555662469102866,0.0044456956466839,0.0235707123794841,8069.561758929672
-16,rf,time,time_2,0.25,0.5,0.012911007041511047,-7.493724930585088e-07,0.0236626202820375,6643.15731873224
-16,rf,time,time_3,0.5,0.75,0.015420174901653066,0.0054812973870568,0.0215604671345341,7560.901237771883
-16,rf,time,time_4,0.75,1.0,0.013733131616669766,0.0041450825336458,0.0200099747333,6826.3410466469795
-20,alexnet,frequency,freq_0_256Hz,0.0,256.0,-0.004589315012985934,-0.0071213224990664,-0.0005617221675724,-1912.3131914182256
-20,alexnet,frequency,freq_10000_15000Hz,10000.0,15000.0,87.91081007190807,12.247207735318968,216.16296193207535,2010519.930801016
-20,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,141.54405579263923,18.94946214951478,373.7030201628537,2439403.263502507
-20,alexnet,frequency,freq_15000_22000Hz,15000.0,22000.0,19.672692753511033,7.974906370054586,41.26294338085768,996638.7206987183
-20,alexnet,frequency,freq_2000_5000Hz,2000.0,5000.0,44.29846205196142,14.552430559179218,96.857547750454,1504577.9249419712
-20,alexnet,frequency,freq_256_512Hz,256.0,512.0,-0.016867637573631997,-0.0553248857976717,0.043597561722848,-6495.040987916979
-20,alexnet,frequency,freq_5000_10000Hz,5000.0,10000.0,40.15394860722261,24.988669644685213,61.14741454907601,1549187.6815765693
-20,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,16.232518175665184,7.13178665371447,31.46423646251454,918666.6355222091
-20,alexnet,time,time_1,0.0,0.25,81.43316410927227,10.647024843069586,168.4132070018526,2041577.704297017
-20,alexnet,time,time_2,0.25,0.5,110.18946063053926,14.377821512536649,229.36287390400267,2383607.1545424415
-20,alexnet,time,time_3,0.5,0.75,46.64294244344931,6.661180983119788,96.59567343115104,1532148.6401332796
-20,alexnet,time,time_4,0.75,1.0,17.398681181691618,5.457682833672386,40.408785598435685,893822.2895042804
-20,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,-0.0003685573836544667,-0.0011186700779918,0.0004194810130847,-157.34895764761555
-20,cnntf_v2_gap,frequency,freq_10000_15000Hz,10000.0,15000.0,0.7369683941822345,0.3679810001120901,1.2369098162662515,162567.8856642597
-20,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,1.5004031687986783,0.6793203568998799,2.6453360157487418,245776.1109162741
