snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error
0,1,rf,false_negative_val0237,237,275444.1710200121,332193.7912544644,-56748.49016108972,275445.3010933747,1.1300733626121655
0,1,rf,worst_prediction_val0135,135,61001.53056177474,332193.7912544644,-271192.3208453459,61001.47040911851,-0.060152656231366564
0,1,rf,low_heatflux_val0060,60,86096.16136758414,332193.7912544644,-246097.68223713583,86096.10901732859,-0.0523502555442974
0,2,rf,near_onb_below_val0060,60,58533.77689045159,312186.1290646485,-253652.44230476083,58533.6867598877,-0.0901305638908525
0,2,rf,near_onb_above_val0120,120,389616.7259463061,312186.1290646485,77430.0973823412,389616.22644698975,-0.49949931632727385
0,2,rf,worst_prediction_val0185,185,240659.0305300135,312186.1290646485,-71526.92845157512,240659.20061307342,0.17008305992931128
0,2,rf,low_heatflux_val0180,180,53267.34604430517,312186.1290646485,-258918.79838024275,53267.33068440578,-0.015359899392933585
0,2,rf,high_heatflux_val0300,300,746651.212416613,312186.1290646485,434464.47648857406,746650.6055532226,-0.6068633904214948
0,3,rf,near_onb_below_val0180,180,266046.3517516345,375346.4082794026,-109298.5997521338,266047.8085272688,1.4567756343167275
0,3,rf,near_onb_above_val0240,240,564299.9823494026,375346.4082794026,188952.3938233368,564298.8021027395,-1.180246663163416
0,3,rf,worst_prediction_val0040,40,215282.9962319522,375346.4082794026,-160063.50211651195,215282.90616289063,-0.09006906155264005
0,3,rf,low_heatflux_val0000,0,94631.10766865867,375346.4082794026,-280715.25645297876,94631.15182642383,0.0441577651508851
0,3,rf,high_heatflux_val0300,300,785668.8553405354,375346.4082794026,410324.2330117082,785670.6412911108,1.7859505753731355
-4,1,rf,near_onb_below_val0120,120,70665.12593592032,332193.7912544644,-261528.6904651274,70665.10078933701,-0.025146583313471638
-4,1,rf,near_onb_above_val0180,180,364539.3214970812,332193.7912544644,32346.511831010674,364540.3030854751,0.9815883939154446
-4,1,rf,false_negative_val0237,237,285394.6994101909,332193.7912544644,-46797.82329529762,285395.9679591668,1.2685489758732729
-4,1,rf,low_heatflux_val0060,60,93261.47710194104,332193.7912544644,-238932.32482289054,93261.46643157388,-0.010670367162674665
-4,1,rf,high_heatflux_val0300,300,688698.9111432342,332193.7912544644,356505.2655504191,688699.0568048835,0.14566164929419756
-4,2,rf,near_onb_below_val0060,60,61315.63522482498,312186.1290646485,-250870.49678268147,61315.63228196706,-0.0029428579218802042
-4,2,rf,near_onb_above_val0120,120,388269.8434094844,312186.1290646485,76083.3496757376,388269.47874038614,-0.36466909828595817
-4,2,rf,worst_prediction_val0185,185,233524.6568513136,312186.1290646485,-78661.30197593609,233524.82708871242,0.17023739882279187
-4,2,rf,low_heatflux_val0180,180,75172.44937556994,312186.1290646485,-237013.6180984972,75172.51096615134,0.061590581404743716
-4,2,rf,high_heatflux_val0300,300,745332.0818029693,312186.1290646485,433145.26445948164,745331.3935241301,-0.6882788392249495
-4,3,rf,near_onb_below_val0180,180,259593.34916314253,375346.4082794026,-115751.56135214116,259594.84692726145,1.4977641189179849
-4,3,rf,near_onb_above_val0240,240,565369.2989437903,375346.4082794026,190021.78371243572,565368.1919918383,-1.1069519519805908
-4,3,rf,worst_prediction_val0039,39,210704.77062645415,375346.4082794026,-164641.27367196456,210705.13460743803,0.3639809838787187
-4,3,rf,low_heatflux_val0000,0,107011.17438328783,375346.4082794026,-268335.27296084276,107011.13531855983,-0.03906472800008487
-4,3,rf,high_heatflux_val0300,300,783470.9072866945,375346.4082794026,408126.1751020567,783472.5833814593,1.676094764843583
-8,1,rf,near_onb_below_val0120,120,78192.90628934841,332193.7912544644,-254001.0653496173,78192.72590484712,-0.18038450129097328
-8,1,rf,near_onb_above_val0180,180,364904.4752128105,332193.7912544644,32711.64395688059,364905.43521134503,0.9599985345266759
-8,1,rf,false_negative_val0237,237,302893.0355212898,332193.7912544644,-29299.28953289014,302894.5017215743,1.4662002844852395
-8,1,rf,worst_prediction_val0134,134,73377.69456630628,332193.7912544644,-258816.23918064398,73377.55207382044,-0.14249248584383167
-8,1,rf,low_heatflux_val0060,60,91321.88930593374,332193.7912544644,-240871.9857029997,91321.80555146473,-0.08375446901482064
