snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase
no_noise,2,rf,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,0,0.8759126641876676,0.8851149173589188,-0.009202253171251229,97417.50791535618,93735.71702640252,-3681.790888953663,74443.85158229167,79191.32261093751,4747.471028645843,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,0,0.8759126641876676,0.8958759924883204,-0.01996332830065284,97417.50791535618,89237.7728337179,-8179.735081638282,74443.85158229167,75011.11818385417,567.2666015625,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,0,0.8759126641876676,0.9323942365783947,-0.05648157239072715,97417.50791535618,71906.00258336963,-25511.505331986555,74443.85158229167,66896.15822291667,-7547.693359375,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,rf,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,0,0.8759126641876676,0.8931763264202512,-0.017263662232583687,97417.50791535618,90387.22221144651,-7030.285703909671,74443.85158229167,76982.14333020833,2538.2917479166645,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,cnntf_v2_gap,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,0,0.9798727763557228,0.9791411736087322,0.0007316027469905784,39234.23793358108,39940.93433720999,706.6964036289137,29618.507832291667,30051.994160416667,433.486328125,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,cnntf_v2_gap,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,0,0.9798727763557228,0.922979758993988,0.0568930173617348,39234.23793358108,76749.52953417836,37515.29160059729,29618.507832291667,66692.91408229167,37074.40625,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,cnntf_v2_gap,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,0,0.9798727763557228,0.5528342071459162,0.42703856920980654,39234.23793358108,184930.08623072883,145695.84829714775,29618.507832291667,154972.7311666667,125354.22333437503,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,cnntf_v2_gap,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,0,0.9798727763557228,0.23786341491604523,0.7420093614396776,39234.23793358108,241429.14157507152,202194.90364149044,29618.507832291667,207467.36658333335,177848.8587510417,nan,nan,nan,1.0,0.3333333333333333,0.6666666666666667,1.0,0.5,0.5,0,2,2
no_noise,2,cnntf_v2_gap,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,0,0.9798727763557228,0.12496627422589002,0.8549065021298328,39234.23793358108,258693.5981152628,219459.36018168172,29618.507832291667,231324.90314583332,201706.39531354164,nan,nan,nan,1.0,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0
no_noise,2,cnntf_v2_gap,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,0,0.9798727763557228,-0.1002335643739638,1.0801063407296865,39234.23793358108,290078.6263536915,250844.38842011042,29618.507832291667,261901.673875,232283.16604270833,nan,nan,nan,1.0,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0
no_noise,2,cnntf_v2_gap,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,0,0.9798727763557228,0.08145918839628097,0.8984135879594418,39234.23793358108,265046.7687114216,225812.5307778405,29618.507832291667,187692.2780416667,158073.770209375,nan,nan,nan,1.0,0.0,1.0,1.0,0.0,1.0,0,3,3
no_noise,2,cnntf_v2_gap,source_wav,median,freq_15000_22000Hz,frequency,15000.0,22000.0,Hz,153,224,360,6,6,0,0.9798727763557228,-3.0787627057764704,4.0586354821321935,39234.23793358108,558518.4256890552,519284.1877554742,29618.507832291667,529943.1188347656,500324.611002474,nan,nan,nan,1.0,0.0,1.0,1.0,0.0,1.0,0,3,3
no_noise,2,cnntf_v2_gap,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,0,0.9798727763557228,0.7388578802929933,0.24101489606272952,39234.23793358108,141322.64198640047,102088.40405281939,29618.507832291667,103947.35195833334,74328.84412604167,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,cnntf_v2_gap,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,0,0.9798727763557228,0.4990207264575963,0.48085204989812647,39234.23793358108,195741.6138577958,156507.37592421472,29618.507832291667,148021.24548958335,118402.73765729168,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,cnntf_v2_gap,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,0,0.9798727763557228,0.39395712646688064,0.5859156498888421,39234.23793358108,215290.54626772433,176056.30833414325,29618.507832291667,160838.21814583335,131219.7103135417,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,cnntf_v2_gap,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,0,0.9798727763557228,0.7100312983664545,0.2698414779892683,39234.23793358108,148918.56660942655,109684.32867584546,29618.507832291667,111892.96554166666,82274.457709375,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,alexnet,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,3,360,6,6,0,0.9512055281965976,0.9587864546425602,-0.0075809264459625325,61088.37826791266,56142.69722548979,-4945.681042422868,54070.320332291674,49936.207051041674,-4134.11328125,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
no_noise,2,alexnet,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,3,5,360,6,6,0,0.9512055281965976,0.9146402120395652,0.0365653161570324,61088.37826791266,80797.87690923568,19709.49864132302,54070.320332291674,74507.34442083334,20437.024088541664,nan,nan,nan,1.0,0.6666666666666666,0.33333333333333337,1.0,0.8,0.19999999999999996,0,1,1
no_noise,2,alexnet,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,5,10,360,6,6,0,0.9512055281965976,0.6077977155952963,0.3434078126013014,61088.37826791266,173192.2063281136,112103.82806020093,54070.320332291674,150917.57611666666,96847.25578437498,nan,nan,nan,1.0,1.0,0.0,1.0,0.8571428571428571,0.1428571428571429,0,0,0
no_noise,2,alexnet,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,10,20,360,6,6,0,0.9512055281965976,-0.6513858441450986,1.6025913723416962,61088.37826791266,355383.74866823107,294295.3704003184,54070.320332291674,345859.62555,291789.30521770834,nan,nan,nan,1.0,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0
no_noise,2,alexnet,source_wav,median,freq_2000_5000Hz,frequency,2000.0,5000.0,Hz,20,51,360,6,6,0,0.9512055281965976,-3.1084852554974702,4.059690783694068,61088.37826791266,560549.7351597141,499461.35689180146,54070.320332291674,550987.6984666666,496917.378134375,nan,nan,nan,1.0,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0
no_noise,2,alexnet,source_wav,median,freq_5000_10000Hz,frequency,5000.0,10000.0,Hz,51,102,360,6,6,0,0.9512055281965976,-3.273406010604246,4.224611538800843,61088.37826791266,571689.6946194804,510601.31635156774,54070.320332291674,556905.0057583334,502834.6854260417,nan,nan,nan,1.0,1.0,0.0,1.0,0.6666666666666666,0.33333333333333337,0,0,0
no_noise,2,alexnet,source_wav,median,freq_10000_15000Hz,frequency,10000.0,15000.0,Hz,102,153,360,6,6,0,0.9512055281965976,0.6075321827935523,0.3436733454030454,61088.37826791266,173250.82458761428,112162.44631970162,54070.320332291674,160564.297425,106493.97709270832,nan,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0,0,0
