snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-8,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,395449.75,495484.84375,0.6602134190976581,0.664957002377123,0.8210371708156091
-8,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,225446.46875,476226.15625,0.6452426713123663,0.64934369694,0.8348269799670842
-8,1,cnntf_v2_gap,worst_prediction_val0137,integrated_gradients,output,61094.28515625,535774.375,0.7119014212116149,0.7183184904602684,0.7965107563794249
-8,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,93474.515625,482214.25,0.6435232312215342,0.6553688615195556,0.8231394858414736
-8,1,alexnet,near_onb_below_val0120,integrated_gradients,output,111287.5078125,459266.96875,0.5758343978901616,0.5885821173547156,0.8045473589134324
-8,1,alexnet,near_onb_above_val0180,integrated_gradients,output,354626.0625,432929.5625,0.6257013393443401,0.6307701624073043,0.7467975889731043
-8,1,alexnet,false_negative_val0230,integrated_gradients,output,278647.6875,442534.28125,0.6812698638598876,0.6833477423354727,0.7591278576320917
-8,1,alexnet,worst_prediction_val0133,integrated_gradients,output,-4971.3740234375,464070.125,0.616569099143492,0.6251398238378455,0.7970803236296061
-8,1,alexnet,low_heatflux_val0060,integrated_gradients,output,1976.217529296875,460211.1875,0.573036422383245,0.5864387920898417,0.8034453844968297
-8,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,115447.0390625,1014143.875,0.6431295068042131,0.6573385649238777,0.8034436892912423
-8,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,408760.0,941261.75,0.5555952517399746,0.5603246476430762,0.7790187208902462
-8,2,cnntf_v2_gap,false_negative_val0132,integrated_gradients,output,365073.4375,895191.875,0.641675159335074,0.6453544374188073,0.7439694156139246
-8,2,cnntf_v2_gap,worst_prediction_val0054,integrated_gradients,output,-4774.61767578125,965577.125,0.6413264520837724,0.6529601296959742,0.8054747025921266
-8,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,55809.60546875,959696.3125,0.6420509704908935,0.6565582235983465,0.8037548413812052
-8,2,alexnet,near_onb_below_val0060,integrated_gradients,output,148387.203125,415260.65625,0.6084024499854631,0.6187973841616139,0.7790056574649009
-8,2,alexnet,near_onb_above_val0120,integrated_gradients,output,400831.375,411648.375,0.6757663909799411,0.6789024099599787,0.7196084434694844
-8,2,alexnet,false_negative_val0152,integrated_gradients,output,364064.03125,417110.8125,0.7033699362072314,0.7073808608472206,0.718637811964963
-8,2,alexnet,worst_prediction_val0001,integrated_gradients,output,6616.484375,416230.84375,0.6080369440168168,0.6176782294893567,0.754823247651004
-8,2,alexnet,low_heatflux_val0180,integrated_gradients,output,107003.3984375,415547.8125,0.6076957009460559,0.618564860144406,0.7775411211676659
-8,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,258024.859375,-713053.1875,0.6446953686367967,0.6539939659666486,0.7892775438310736
-8,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,501741.15625,-687274.25,0.6449494485297222,0.6486794446729155,0.7886685316896823
-8,3,cnntf_v2_gap,worst_prediction_val0039,integrated_gradients,output,292913.28125,-676939.5625,0.6619273976676684,0.6691619978178243,0.8043180134866096
-8,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,187132.40625,-716304.75,0.6108366773573665,0.6258493803174856,0.7983859700683354
-8,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,748677.375,-634835.0,0.5547809448334658,0.5591866890865075,0.8182361020451094
-8,3,alexnet,near_onb_below_val0180,integrated_gradients,output,296211.78125,460517.0625,0.6043847469082615,0.6106519768284492,0.7925843904810793
-8,3,alexnet,near_onb_above_val0240,integrated_gradients,output,461646.75,451432.78125,0.6870376981670978,0.6894612547458517,0.7738229771849754
-8,3,alexnet,worst_prediction_val0020,integrated_gradients,output,258731.859375,474158.46875,0.6510534421832993,0.6562125259743795,0.8252535585015279
-8,3,alexnet,low_heatflux_val0000,integrated_gradients,output,145829.765625,465405.71875,0.607122136659292,0.6168261913693619,0.8143832108489143
-8,3,alexnet,high_heatflux_val0300,integrated_gradients,output,713627.3125,449065.0625,0.6257159048251931,0.6290768204012095,0.7712154461756837
-12,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,188691.984375,556089.75,0.6273329862336412,0.6423740099637549,0.8464573039061966
-12,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,411896.40625,540145.75,0.6884045154075746,0.6927270874123539,0.7816091589610764
-12,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,277621.15625,576125.3125,0.6950395965709903,0.7003611508829112,0.8157030494482715
-12,1,cnntf_v2_gap,worst_prediction_val0133,integrated_gradients,output,81091.4296875,490442.8125,0.6643184960674113,0.6710012620602042,0.8598538453959678
-12,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,103623.859375,543063.0,0.6271814281283068,0.6423324446949776,0.8455881166018502
