snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-16,1,alexnet,false_negative_val0230,integrated_gradients,output,212636.421875,440778.1875,0.6660941182356834,0.6717546959298608,0.7438502555590569
-16,1,alexnet,worst_prediction_val0154,integrated_gradients,output,17541.439453125,463377.59375,0.6090303415588727,0.6135183826228606,0.7527774388262014
-16,1,alexnet,low_heatflux_val0060,integrated_gradients,output,64226.140625,452882.1875,0.6947686370338637,0.6992399095075932,0.7415981865204176
-16,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,197392.734375,1144845.25,0.6668678717069935,0.6785959389767928,0.8565762748452759
-16,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,425757.875,1223372.75,0.5843495091921618,0.5900585585190985,0.8314931674766946
-16,2,cnntf_v2_gap,worst_prediction_val0205,integrated_gradients,output,252992.296875,1162508.125,0.62366041987499,0.6348334645283257,0.8597144954642175
-16,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,214821.40625,1154358.375,0.6667465007532712,0.6784825341495285,0.8566213597438275
-16,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,821451.5625,1212112.5,0.5874272606642729,0.592836943338797,0.8355283229458479
-16,2,alexnet,near_onb_below_val0060,integrated_gradients,output,14990.7314453125,428988.625,0.5975070427922449,0.6063939814011271,0.8326276404543272
-16,2,alexnet,near_onb_above_val0120,integrated_gradients,output,415069.9375,395551.78125,0.7329058645983967,0.7365192029254438,0.7252452266832072
-16,2,alexnet,worst_prediction_val0104,integrated_gradients,output,-23524.8125,437789.5625,0.6018430291373384,0.6108781885821889,0.845937943231245
-16,2,alexnet,low_heatflux_val0180,integrated_gradients,output,98065.2890625,430258.09375,0.5971379952595374,0.6060799984698795,0.8322301134895369
-16,2,alexnet,high_heatflux_val0300,integrated_gradients,output,766665.8125,379754.03125,0.7611161921019401,0.7635514094157887,0.7098313254649196
-16,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,266239.84375,-660390.375,0.6600448722227307,0.6726384056882503,0.813133675331268
-16,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,473769.46875,-657084.8125,0.7043489350431298,0.7082919751489247,0.728125931223652
-16,3,cnntf_v2_gap,worst_prediction_val0197,integrated_gradients,output,92562.265625,-576789.0625,0.7320583869865294,0.7379429716148694,0.7934669103891763
-16,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,74617.96875,-631431.8125,0.6623417361747838,0.6741354264254037,0.8175179400564595
-16,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,737974.1875,-618929.9375,0.6610896902439002,0.6650075507412541,0.7568329540813357
-16,3,alexnet,near_onb_below_val0180,integrated_gradients,output,261274.765625,458561.03125,0.7065865924254289,0.7141875035708904,0.6748059510329737
-16,3,alexnet,near_onb_above_val0240,integrated_gradients,output,460927.96875,475946.46875,0.6974830940525794,0.7002706197211168,0.7465608134213931
-16,3,alexnet,worst_prediction_val0042,integrated_gradients,output,219526.546875,472061.375,0.726852083491856,0.731156562269191,0.6544791428806451
-16,3,alexnet,low_heatflux_val0000,integrated_gradients,output,44454.00390625,458536.78125,0.7426385429187328,0.7485870872993597,0.6605606686330063
-16,3,alexnet,high_heatflux_val0300,integrated_gradients,output,693853.875,479476.6875,0.6250734577248057,0.6281390415524298,0.7638755064517697
-20,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,169770.71875,149847.015625,0.6781067652727765,0.6885393189724944,0.904595640118006
-20,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,387998.96875,192400.171875,0.6759596018374596,0.6887166692963034,0.8920819414519162
-20,1,cnntf_v2_gap,false_negative_val0229,integrated_gradients,output,262867.25,141025.8125,0.6752228255808608,0.6798933807394503,0.9154987092069927
-20,1,cnntf_v2_gap,worst_prediction_val0135,integrated_gradients,output,35650.13671875,218789.796875,0.6880150471825867,0.6958341885877353,0.9655702655641412
-20,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,144061.078125,180422.40625,0.6780387928443965,0.6884787597728983,0.9045970403649818
-20,1,alexnet,near_onb_below_val0120,integrated_gradients,output,89332.703125,462845.28125,0.5810030534461802,0.5918902257310097,0.7912909187827623
