snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error
-20,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,169770.71875,97136.97775000002
-20,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,387998.96875,19020.86375000002
-20,1,cnntf_v2_gap,false_negative_val0229,229,368978.105,262867.25,106110.85499999998
-20,1,cnntf_v2_gap,worst_prediction_val0135,135,266907.6965,35650.13671875,231257.55978125002
-20,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,144061.078125,123081.362085
-20,1,alexnet,near_onb_below_val0120,120,266907.6965,89332.703125,177574.99337500002
-20,1,alexnet,near_onb_above_val0180,180,368978.105,346274.40625,22703.69874999998
-20,1,alexnet,false_negative_val0230,230,368978.105,187929.921875,181048.18312499998
-20,1,alexnet,worst_prediction_val0137,137,266907.6965,26087.369140625,240820.32735937502
-20,1,alexnet,low_heatflux_val0060,60,20979.71604,118654.7734375,97675.0573975
-20,2,rf,near_onb_below_val0060,60,221505.1102,107828.7109375,113676.3992625
-20,2,rf,near_onb_above_val0120,120,427276.195,391469.375,35806.82000000001
-20,2,rf,worst_prediction_val0067,67,221505.1102,73158.3515625,148346.7586375
-20,2,rf,low_heatflux_val0180,180,57593.31665,129269.2109375,71675.8942875
-20,2,rf,high_heatflux_val0300,300,859343.9142,751183.625,108160.2892
-20,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,122471.53125,99033.57895
-20,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,402714.5625,24561.632500000007
-20,2,cnntf_v2_gap,worst_prediction_val0064,64,221505.1102,33020.3671875,188484.7430125
-20,2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,106542.5703125,48949.2536625
-20,2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,780178.375,79165.5392
-20,2,alexnet,near_onb_below_val0060,60,221505.1102,117903.9296875,103601.1805125
-20,2,alexnet,near_onb_above_val0120,120,427276.195,415392.6875,11883.507500000007
-20,2,alexnet,false_negative_val0152,152,427276.195,366347.1875,60929.00750000001
-20,2,alexnet,worst_prediction_val0090,90,221505.1102,-43775.140625,265280.250825
-20,2,alexnet,low_heatflux_val0180,180,57593.31665,177553.796875,119960.480225
-20,3,rf,near_onb_below_val0180,180,315466.1173,275140.59375,40325.52354999998
-20,3,rf,near_onb_above_val0240,240,489453.9981,566230.875,76776.87689999997
-20,3,rf,worst_prediction_val0120,120,2355.33535,183718.09375,181362.7584
-20,3,rf,low_heatflux_val0000,0,0.000328047,151268.59375,151268.593421953
-20,3,rf,high_heatflux_val0300,300,698421.296,778434.1875,80012.89150000003
-20,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,277825.625,37640.49229999998
-20,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,455519.375,33934.623100000026
-20,3,cnntf_v2_gap,worst_prediction_val0031,31,0.000328047,222883.828125,222883.827796953
-20,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,145538.484375,145538.484046953
-20,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,733986.1875,35564.89150000003
-20,3,alexnet,near_onb_below_val0180,180,315466.1173,242138.140625,73327.97667499998
-20,3,alexnet,near_onb_above_val0240,240,489453.9981,493462.9375,4008.939399999974
