snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,source_wav_id,chunk_index,sample_filename,sample_dir,within_onb_10pct
no_noise,3,rf,near_onb_above_val0240,240,489453.9981,565530.9375,76076.93939999997,index=13.4.89E+05,0,489453.9981_src-index=13.4.89E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/near_onb_above_val0240,False
no_noise,3,rf,worst_prediction_val0018,18,0.000328047,222683.46875,222683.468421953,index=1.3.28E-04,18,0.000328047_src-index=1.3.28E-04_chunk-0018.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/worst_prediction_val0018,False
no_noise,3,rf,low_heatflux_val0000,0,0.000328047,106537.8828125,106537.882484453,index=1.3.28E-04,0,0.000328047_src-index=1.3.28E-04_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/low_heatflux_val0000,False
no_noise,3,rf,high_heatflux_val0300,300,698421.296,782907.6875,84486.39150000003,index=16.6.98E+05,0,698421.296_src-index=16.6.98E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/rf/high_heatflux_val0300,False
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,264708.625,50757.49229999998,index=10.3.15E+05,0,315466.1173_src-index=10.3.15E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/near_onb_below_val0180,False
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,493626.59375,4172.595649999974,index=13.4.89E+05,0,489453.9981_src-index=13.4.89E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/near_onb_above_val0240,False
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,8,0.000328047,217528.828125,217528.827796953,index=1.3.28E-04,8,0.000328047_src-index=1.3.28E-04_chunk-0008.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/worst_prediction_val0008,False
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,124795.3515625,124795.351234453,index=1.3.28E-04,0,0.000328047_src-index=1.3.28E-04_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/low_heatflux_val0000,False
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,724379.0,25957.704000000027,index=16.6.98E+05,0,698421.296_src-index=16.6.98E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/cnntf_v2_gap/high_heatflux_val0300,False
no_noise,3,alexnet,near_onb_below_val0180,180,315466.1173,284175.03125,31291.086049999984,index=10.3.15E+05,0,315466.1173_src-index=10.3.15E+05_chunk-0000.npy,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/15_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/near_onb_below_val0180,False
