snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
-4,2,alexnet,false_negative_val0133,integrated_gradients,1,0.01,0.9999668148464995,0.999966713890917,0.026955433417014885
-4,2,alexnet,false_negative_val0133,integrated_gradients,2,0.01,0.999966934661569,0.999966855767567,0.02689018209405799
-4,2,alexnet,worst_prediction_val0006,integrated_gradients,1,0.01,0.9998092177194231,0.9998123154069196,0.0690640119127438
-4,2,alexnet,worst_prediction_val0006,integrated_gradients,2,0.01,0.9997959154952927,0.9997991887862882,0.07002398019820123
-4,2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.999787189300611,0.9997959578016173,0.05511864422138098
-4,2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.9997653296529077,0.999774989219101,0.05750779984422755
-4,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999414039238291,0.9999415706728958,0.07054565623919903
-4,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.999942572491379,0.9999428082878767,0.06973721561488205
-4,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999655431602394,0.999964517670317,0.046281377109066976
-4,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999655045463394,0.9999645052095885,0.04584968547758706
-4,3,cnntf_v2_gap,worst_prediction_val0033,integrated_gradients,1,0.01,0.9998184233221402,0.9998200195454496,0.09108088143977729
-4,3,cnntf_v2_gap,worst_prediction_val0033,integrated_gradients,2,0.01,0.9998223859004771,0.9998236744235467,0.09082411333334055
-4,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9998460443096416,0.9998509712781388,0.07041055453716201
-4,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9998420534772721,0.9998471442410714,0.07120309132082854
-4,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999773436981716,0.9999767171007408,0.043885887328178726
-4,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999775959674627,0.9999770367010985,0.044024051270944026
-4,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999594148994796,0.9999587529239423,0.05804872912955657
-4,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999622353977495,0.9999615823563083,0.05797180229774752
-4,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999880925764715,0.9999879020931766,0.03037722373914633
-4,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999888837273642,0.9999887247282304,0.029751896892238477
-4,3,alexnet,worst_prediction_val0041,integrated_gradients,1,0.01,0.9996666603786695,0.9996652281974389,0.08860046292169807
-4,3,alexnet,worst_prediction_val0041,integrated_gradients,2,0.01,0.9996300806072935,0.9996280519251406,0.09095600517162362
-4,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.9998961775377226,0.9998988505483678,0.053092350502981694
-4,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.999888526444935,0.9998913636332194,0.05487495698461619
-4,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999776755370526,0.9999774832965477,0.03331619649418016
-4,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999779274897777,0.9999777816141691,0.03355562023036207
-8,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9999275042581197,0.9999295688440533,0.04922129275793891
-8,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9999276045652019,0.9999296683226887,0.049090818139308844
-8,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999623848759779,0.9999621797134366,0.04348845602276977
-8,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999624219886772,0.9999623103967188,0.04338402406090523
-8,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999636861345808,0.9999638317962605,0.048287775631849834
-8,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999645268779813,0.9999646929783156,0.04777732991235607
