snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,2,alexnet,worst_prediction_val0007,7,181378.003,32905.5859375,148472.4170625,integrated_gradients,heat_flux,-1913224.625,-111581.6953125,-1801642.9296875,16.146402191163606,1293197.516796875,88696.4453125,1204501.071484375,811719.96875,88696.4453125,723023.5234375,10,1031.25,152,0.6808035714285714
no_noise,2,alexnet,worst_prediction_val0007,7,181378.003,32905.5859375,148472.4170625,grad_cam,relative_importance,nan,-111581.6953125,nan,nan,270435.4169921875,88696.4453125,181738.9716796875,402725.95546875,88696.4453125,314029.51015625,177,17433.035714285714,215,0.9620535714285714
no_noise,2,alexnet,worst_prediction_val0007,7,181378.003,32905.5859375,148472.4170625,group_occlusion,heat_flux_change,nan,-111581.6953125,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,2,alexnet,low_heatflux_val0180,180,57593.31665,134004.3125,76410.99585,integrated_gradients,heat_flux,-1894369.75,-10482.96875,-1883886.78125,179.70928142373788,1421648.26015625,139246.0625,1282402.19765625,806781.37421875,139246.0625,667535.31171875,5,540.1785714285714,153,0.6852678571428571
no_noise,2,alexnet,low_heatflux_val0180,180,57593.31665,134004.3125,76410.99585,grad_cam,relative_importance,nan,-10482.96875,nan,nan,263502.40078125,139246.0625,124256.33828124998,464931.03125,139246.0625,325684.96875,158,15566.964285714286,102,0.4575892857142857
no_noise,2,alexnet,low_heatflux_val0180,180,57593.31665,134004.3125,76410.99585,group_occlusion,heat_flux_change,nan,-10482.96875,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,3,rf,near_onb_below_val0180,180,315466.1173,269263.90625,46202.21104999998,group_occlusion,heat_flux_change,nan,44867.375,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,3,rf,near_onb_above_val0240,240,489453.9981,565530.9375,76076.93939999997,group_occlusion,heat_flux_change,nan,341134.40625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,3,rf,worst_prediction_val0018,18,0.000328047,222683.46875,222683.468421953,group_occlusion,heat_flux_change,nan,-1713.0625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,3,rf,low_heatflux_val0000,0,0.000328047,106537.8828125,106537.882484453,group_occlusion,heat_flux_change,nan,-117858.6484375,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,168,0.7522321428571429
no_noise,3,rf,high_heatflux_val0300,300,698421.296,782907.6875,84486.39150000003,group_occlusion,heat_flux_change,nan,558511.15625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,264708.625,50757.49229999998,integrated_gradients,heat_flux,-4470924.5,182958.421875,-4653882.921875,25.43683353945086,176948.1666015625,173189.6796875,3758.486914062494,245211.157421875,173189.6796875,72021.47773437499,23,2308.035714285714,44,0.19866071428571427
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,264708.625,50757.49229999998,group_occlusion,heat_flux_change,nan,182958.421875,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,56,0.25223214285714285
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,493626.59375,4172.595649999974,integrated_gradients,heat_flux,2287479808.0,411876.390625,2287067931.609375,5552.80172320359,243936.33828125,287668.1328125,-43731.794531249994,319300.354296875,287668.1328125,31632.22148437501,23,2308.035714285714,18,0.08258928571428571
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,493626.59375,4172.595649999974,group_occlusion,heat_flux_change,nan,411876.390625,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,112,0.5022321428571429
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,8,0.000328047,217528.828125,217528.827796953,integrated_gradients,heat_flux,522357.46875,135778.625,386578.84375,2.8471259283263475,177026.55546875,149627.1796875,27399.37578125001,235399.128515625,149627.1796875,85771.948828125,5,540.1785714285714,165,0.7388392857142857
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,8,0.000328047,217528.828125,217528.827796953,group_occlusion,heat_flux_change,nan,135778.625,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,0,0.002232142857142857
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,124795.3515625,124795.351234453,integrated_gradients,heat_flux,382249.1875,43045.1484375,339204.0390625,7.880192109338687,146025.3484375,103273.1640625,42752.18437500001,205867.198046875,103273.1640625,102594.03398437501,5,540.1785714285714,93,0.4174107142857143
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,124795.3515625,124795.351234453,group_occlusion,heat_flux_change,nan,43045.1484375,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,112,0.5022321428571429
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,724379.0,25957.704000000027,integrated_gradients,heat_flux,17972144128.0,642628.796875,17971501499.203125,27965.602516718256,273290.22421875,403087.1328125,-129796.90859374998,366195.719921875,403087.1328125,-36891.41289062501,23,2308.035714285714,197,0.8816964285714286
