seed,snr,model,fit_role,epoch,training_loss
44,-8,AlexNet,full_training,60,0.00293872
44,-8,AlexNet,full_training,70,0.00263265
44,-8,AlexNet,full_training,80,0.00205811
44,-8,AlexNet,full_training,90,0.00200491
44,-8,AlexNet,full_training,100,0.00150789
44,-8,AlexNet,full_training,110,0.00142633
44,-8,AlexNet,full_training,120,0.00131079
44,-8,AlexNet,full_training,130,0.00109823
44,-8,AlexNet,full_training,140,0.00112832
44,-8,AlexNet,full_training,150,0.000980503
44,-8,AlexNet,full_training,160,0.000871899
44,-8,AlexNet,full_training,170,0.000875424
44,-8,AlexNet,full_training,180,0.000852991
44,-8,AlexNet,full_training,190,0.000710771
44,-8,AlexNet,full_training,200,0.000667882
44,-16,AlexNet,inner_weight_fit,10,0.0133455
44,-16,AlexNet,inner_weight_fit,20,0.00781726
44,-16,AlexNet,inner_weight_fit,30,0.00662353
44,-16,AlexNet,inner_weight_fit,40,0.00583904
44,-16,AlexNet,inner_weight_fit,50,0.00547126
44,-16,AlexNet,inner_weight_fit,60,0.00530178
44,-16,AlexNet,inner_weight_fit,70,0.00514393
44,-16,AlexNet,inner_weight_fit,80,0.00504389
44,-16,AlexNet,inner_weight_fit,90,0.00458525
44,-16,AlexNet,inner_weight_fit,100,0.0043105
44,-16,AlexNet,inner_weight_fit,110,0.00376245
44,-16,AlexNet,inner_weight_fit,120,0.00335951
44,-16,AlexNet,inner_weight_fit,130,0.00286135
44,-16,AlexNet,inner_weight_fit,140,0.00241007
44,-16,AlexNet,inner_weight_fit,150,0.0018081
44,-16,AlexNet,inner_weight_fit,160,0.00141002
44,-16,AlexNet,inner_weight_fit,170,0.00131216
44,-16,AlexNet,inner_weight_fit,180,0.00111438
44,-16,AlexNet,inner_weight_fit,190,0.000988956
44,-16,AlexNet,inner_weight_fit,200,0.000931983
44,-16,AlexNet,full_training,10,0.00820297
44,-16,AlexNet,full_training,20,0.0052508
44,-16,AlexNet,full_training,30,0.00515467
44,-16,AlexNet,full_training,40,0.00435147
44,-16,AlexNet,full_training,50,0.00407315
44,-16,AlexNet,full_training,60,0.00366267
44,-16,AlexNet,full_training,70,0.00367736
44,-16,AlexNet,full_training,80,0.00343507
44,-16,AlexNet,full_training,90,0.00329775
44,-16,AlexNet,full_training,100,0.00338169
44,-16,AlexNet,full_training,110,0.00291872
44,-16,AlexNet,full_training,120,0.0025817
44,-16,AlexNet,full_training,130,0.00204618
44,-16,AlexNet,full_training,140,0.00147721
44,-16,AlexNet,full_training,150,0.00132744
44,-16,AlexNet,full_training,160,0.000967211
44,-16,AlexNet,full_training,170,0.000987578
44,-16,AlexNet,full_training,180,0.00088077
44,-16,AlexNet,full_training,190,0.000799279
44,-16,AlexNet,full_training,200,0.000694624
