seed,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
44,ensemble__inner_holdout,index=5.113188,113188.2901,below_onb,60,333996406516.39136
44,ensemble__inner_holdout,index=6.146381,146381.6505,below_onb,60,619494500505.7987
44,ensemble__inner_holdout,index=7.184190,184190.9699,below_onb,60,690669686198.5234
44,ensemble__inner_holdout,index=8.225704,225704.9618,below_onb,60,61747953759.96706
44,ensemble__inner_holdout,index=9.271677,271677.6816,near_onb,60,124261968667.90894
44,equal_offline,index=1.0,-1.42e-06,below_onb,60,26844031096.46366
44,equal_offline,index=10.322114,322114.2428,above_onb,60,262027499388.806
44,equal_offline,index=11.376320,376320.1201,above_onb,60,-29580592727.904076
44,equal_offline,index=12.434018,434018.0833,above_onb,60,-52807346855.56577
44,equal_offline,index=13.496023,496023.3525,above_onb,60,-45272877995.21656
44,equal_offline,index=14.562158,562158.7854,above_onb,60,-42304598549.72864
44,equal_offline,index=15.633482,633482.536,above_onb,60,-11792314841.021492
44,equal_offline,index=16.709792,709792.7143,above_onb,60,-35719708631.11116
44,equal_offline,index=17.789500,789500.1968,above_onb,60,-150137927530.35904
44,equal_offline,index=18.873637,873637.0359,above_onb,60,-255224282001.64792
44,equal_offline,index=2.2380,2380.025286,below_onb,60,9974284070.497534
44,equal_offline,index=3.21242,21242.86319,below_onb,60,13603514206.491808
44,equal_offline,index=4.58389,58389.85471,below_onb,60,9420215072.436626
44,equal_offline,index=5.113188,113188.2901,below_onb,60,224555160221.97968
44,equal_offline,index=6.146381,146381.6505,below_onb,60,450907016377.0397
44,equal_offline,index=7.184190,184190.9699,below_onb,60,515649335579.0254
44,equal_offline,index=8.225704,225704.9618,below_onb,60,56179794564.56446
44,equal_offline,index=9.271677,271677.6816,near_onb,60,96816042329.7926
