before,after,model,source_wav_id,y_true_w_m2,region,chunks,sse_reduction_w_m2_squared
no_noise,-16,equal_offline,index=15.633482,633482.536,above_onb,60,45857630180.563
no_noise,-16,equal_offline,index=16.709792,709792.7143,above_onb,60,26405386813.836746
no_noise,-16,equal_offline,index=17.789500,789500.1968,above_onb,60,-27887732191.509373
no_noise,-16,equal_offline,index=18.873637,873637.0359,above_onb,60,-99718579011.7735
no_noise,-16,equal_offline,index=2.2380,2380.025286,below_onb,60,-4773665001833.445
no_noise,-16,equal_offline,index=3.21242,21242.86319,below_onb,60,-4435750167744.151
no_noise,-16,equal_offline,index=4.58389,58389.85471,below_onb,60,-3508835703157.9956
no_noise,-16,equal_offline,index=5.113188,113188.2901,below_onb,60,-2160856057084.802
no_noise,-16,equal_offline,index=6.146381,146381.6505,below_onb,60,-1247572981052.851
no_noise,-16,equal_offline,index=7.184190,184190.9699,below_onb,60,-588840694797.3394
no_noise,-16,equal_offline,index=8.225704,225704.9618,below_onb,60,565381923886.985
no_noise,-16,equal_offline,index=9.271677,271677.6816,near_onb,60,1160424333208.544
no_noise,-20,randomforest,index=1.0,-1.42e-06,below_onb,60,-893141728915.1809
no_noise,-20,randomforest,index=10.322114,322114.2428,above_onb,60,1116448197852.2756
no_noise,-20,randomforest,index=11.376320,376320.1201,above_onb,60,18858423742.22574
no_noise,-20,randomforest,index=12.434018,434018.0833,above_onb,60,83578088.48808092
no_noise,-20,randomforest,index=13.496023,496023.3525,above_onb,60,487677423.2571869
no_noise,-20,randomforest,index=14.562158,562158.7854,above_onb,60,-236538555.31772453
no_noise,-20,randomforest,index=15.633482,633482.536,above_onb,60,1752236410.9773736
no_noise,-20,randomforest,index=16.709792,709792.7143,above_onb,60,-476796993.22674865
no_noise,-20,randomforest,index=17.789500,789500.1968,above_onb,60,741363211.9142466
no_noise,-20,randomforest,index=18.873637,873637.0359,above_onb,60,-5675067449.513176
no_noise,-20,randomforest,index=2.2380,2380.025286,below_onb,60,-791600847155.3268
no_noise,-20,randomforest,index=3.21242,21242.86319,below_onb,60,-684402917116.8007
no_noise,-20,randomforest,index=4.58389,58389.85471,below_onb,60,-496510972231.2016
no_noise,-20,randomforest,index=5.113188,113188.2901,below_onb,60,-41290408537.24982
no_noise,-20,randomforest,index=6.146381,146381.6505,below_onb,60,209030875683.56036
no_noise,-20,randomforest,index=7.184190,184190.9699,below_onb,60,479042694137.84735
no_noise,-20,randomforest,index=8.225704,225704.9618,below_onb,60,691265662732.978
no_noise,-20,randomforest,index=9.271677,271677.6816,near_onb,60,898952031970.2773
no_noise,-20,conformer,index=1.0,-1.42e-06,below_onb,60,-22301260214130.363
no_noise,-20,conformer,index=10.322114,322114.2428,above_onb,60,-3753385887892.6694
no_noise,-20,conformer,index=11.376320,376320.1201,above_onb,60,-2392611786355.655
no_noise,-20,conformer,index=12.434018,434018.0833,above_onb,60,-1373663555172.8489
no_noise,-20,conformer,index=13.496023,496023.3525,above_onb,60,-946902716466.8225
no_noise,-20,conformer,index=14.562158,562158.7854,above_onb,60,-769425089420.8319
